           2           2  0.499259788498140     
           2           3  0.500446773473959     
           2           4  0.499259448600307     
           2           5  0.500473101927987     
           2           6  0.499259113346638     
           3           7  0.485498613761245     
           3           8  0.996946495977392     
           3           9  1.371253065725136E-002
           3          10  0.999999999943280     
           3          11  0.960440579905666     
           4          12  0.999977289091535     
           4          13  0.357059184032644     
           4          14  0.999096948266328     
           4          15  0.223836030006495     
           4          16  0.999999944789101     
           5          17  8.030070432047001E-004
           5          18  8.068147199162589E-004
           5          19  8.028819754450996E-004
           5          20  8.069385014181973E-004
           5          21  8.027568642788518E-004
           6          22  1.776117365092698E-002
