b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
4	1	1	1	3.351946e-02	-2.790240e-02	5.848127e-02	1.575229e-06	-1.292170e-06	2.775788e-07	3.943698e+00	4.737607e+00	0.000000e+00	9.982000e+02	-2.245844e+03	-1.051187e+00	6.083575e-01	9.123169e+00	1.103476e-04	-1.568475e-06	1.289252e-06	7.670555e-07	
4	1	2	1	3.368006e-02	-2.766198e-02	5.868730e-02	1.345148e-06	-1.096802e-06	2.329340e-07	3.909717e+00	4.760305e+00	0.000000e+00	9.982000e+02	-2.215326e+03	-1.166781e+00	5.398001e-01	9.442941e+00	1.392031e-04	-1.964196e-06	1.598430e-06	1.022054e-06	
4	1	3	1	3.382921e-02	-2.745043e-02	5.881984e-02	1.122379e-06	-9.091932e-07	1.915641e-07	3.879816e+00	4.781387e+00	0.000000e+00	9.982000e+02	-2.226179e+03	-1.306726e+00	4.316901e-01	9.743734e+00	1.203249e-04	-1.478111e-06	1.172914e-06	9.630155e-07	
4	1	4	1	3.395353e-02	-2.727398e-02	5.892535e-02	9.352074e-07	-7.499636e-07	1.590397e-07	3.854877e+00	4.798958e+00	0.000000e+00	9.982000e+02	-2.057014e+03	-1.573654e+00	2.121022e-01	1.029195e+01	9.482857e-05	-1.326454e-06	1.005236e-06	7.887078e-07	
4	2	1	1	3.570946e-02	-2.608900e-02	5.383594e-02	1.822406e-06	-1.329601e-06	2.983610e-07	3.687394e+00	5.047140e+00	0.000000e+00	9.982000e+02	3.883308e+03	-5.034902e-01	1.218945e+00	8.538374e+00	1.105829e-04	-1.100028e-05	8.152568e-06	-8.377007e-07	
4	2	2	1	3.591100e-02	-2.578707e-02	5.394093e-02	1.492917e-06	-1.071164e-06	2.427483e-07	3.644719e+00	5.075624e+00	0.000000e+00	9.982000e+02	4.693812e+03	-4.635220e-01	1.280642e+00	8.519988e+00	8.568546e-05	-1.008441e-05	7.342338e-06	-8.956273e-07	
4	2	3	1	3.606666e-02	-2.554606e-02	5.404090e-02	1.228939e-06	-8.697601e-07	1.989069e-07	3.610654e+00	5.097626e+00	0.000000e+00	9.982000e+02	3.920833e+03	-4.972447e-01	1.259350e+00	8.596883e+00	7.584458e-05	-7.821282e-06	5.629509e-06	-6.000318e-07	
4	2	4	1	3.618708e-02	-2.535287e-02	5.413775e-02	1.025093e-06	-7.176545e-07	1.652969e-07	3.583349e+00	5.114646e+00	0.000000e+00	9.982000e+02	4.716369e+03	-6.198680e-01	1.155574e+00	8.877621e+00	6.652724e-05	-7.097104e-06	5.036881e-06	-5.407335e-07	
4	3	1	1	3.781484e-02	-2.415174e-02	4.894955e-02	1.966716e-06	-1.255730e-06	3.077637e-07	3.413583e+00	5.344711e+00	0.000000e+00	9.982000e+02	1.018492e+04	-2.736532e-01	1.566874e+00	8.148462e+00	8.368560e-05	-2.356553e-05	1.518354e-05	-2.995446e-06	
4	3	2	1	3.800752e-02	-2.382605e-02	4.903639e-02	1.611202e-06	-1.009596e-06	2.508392e-07	3.367550e+00	5.371945e+00	0.000000e+00	9.982000e+02	1.052073e+04	-2.117329e-01	1.665426e+00	8.072344e+00	6.341063e-05	-2.007775e-05	1.269558e-05	-2.606281e-06	
4	3	3	1	3.815509e-02	-2.356668e-02	4.912576e-02	1.327649e-06	-8.196001e-07	2.058734e-07	3.330891e+00	5.392803e+00	0.000000e+00	9.982000e+02	1.072577e+04	-2.186331e-01	1.687189e+00	8.138015e+00	5.179875e-05	-1.688216e-05	1.051707e-05	-2.189829e-06	
4	3	4	1	3.826920e-02	-2.335835e-02	4.921499e-02	1.108949e-06	-6.764705e-07	1.714202e-07	3.301446e+00	5.408931e+00	0.000000e+00	9.982000e+02	1.081723e+04	-2.133901e-01	1.718793e+00	8.175835e+00	4.219376e-05	-1.427632e-05	8.788461e-06	-1.856416e-06	
