b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
7	16	1	1	2.155366e-02	-1.552544e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.299765e-06	2.194351e+00	3.046373e+00	0.000000e+00	9.982000e+02	-4.933749e+04	-3.970536e+00	-5.539650e+00	8.220606e+00	1.882229e-02	-7.492101e-05	-1.045290e-04	3.980890e-05	
7	16	1	2	2.729997e-02	-2.029823e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.098308e-05	2.868932e+00	3.858551e+00	0.000000e+00	9.982000e+02	-4.013405e+04	-3.263451e+00	-4.305929e+00	8.411268e+00	9.220038e-02	-3.014471e-04	-3.977415e-04	3.348645e-04	
7	16	1	3	3.778117e-02	-2.902478e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.998684e-05	4.102333e+00	5.339953e+00	0.000000e+00	9.982000e+02	-3.214013e+04	-2.736654e+00	-3.418177e+00	7.634597e+00	1.522031e-01	-4.173552e-04	-5.212912e-04	5.170416e-04	
7	16	1	4	4.964126e-02	-3.896369e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.644736e-05	5.507089e+00	7.016247e+00	0.000000e+00	9.982000e+02	-2.774304e+04	-2.271758e+00	-2.781752e+00	7.149689e+00	1.883308e-01	-4.288348e-04	-5.251051e-04	6.009287e-04	
7	16	1	5	6.145810e-02	-4.894981e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.321829e-05	6.918517e+00	8.686427e+00	0.000000e+00	9.982000e+02	-2.546436e+04	-1.818565e+00	-2.263170e+00	6.785897e+00	2.241164e-01	-4.086644e-04	-5.085751e-04	6.486260e-04	
7	16	1	6	7.331317e-02	-5.888406e-02	1.700000e-01	0.000000e+00	0.000000e+00	4.019667e-05	8.322615e+00	1.036201e+01	0.000000e+00	9.982000e+02	-2.423351e+04	-1.429486e+00	-1.874110e+00	6.589230e+00	2.630371e-01	-3.771009e-04	-4.943937e-04	7.188950e-04	
7	16	1	7	8.538237e-02	-6.855004e-02	1.700000e-01	0.000000e+00	0.000000e+00	4.731759e-05	9.688795e+00	1.206786e+01	0.000000e+00	9.982000e+02	-2.354541e+04	-1.090542e+00	-1.571571e+00	6.485208e+00	3.045351e-01	-3.331175e-04	-4.800528e-04	8.077759e-04	
7	16	1	8	9.791532e-02	-7.763287e-02	1.700000e-01	0.000000e+00	0.000000e+00	5.459784e-05	1.097255e+01	1.383925e+01	0.000000e+00	9.982000e+02	-2.315625e+04	-8.016200e-01	-1.342338e+00	6.417490e+00	3.475818e-01	-2.794953e-04	-4.680235e-04	9.014132e-04	
7	16	1	9	1.112797e-01	-8.563332e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.197092e-05	1.210333e+01	1.572816e+01	0.000000e+00	9.982000e+02	-2.293865e+04	-5.280530e-01	-1.146726e+00	6.333013e+00	3.892239e-01	-2.061782e-04	-4.477390e-04	9.675279e-04	
7	16	1	10	1.260191e-01	-9.172039e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.947874e-05	1.296367e+01	1.781142e+01	0.000000e+00	9.982000e+02	-2.282265e+04	-2.784778e-01	-9.850422e-01	6.245646e+00	4.301104e-01	-1.201655e-04	-4.250539e-04	1.009039e-03	
7	16	1	11	1.406745e-01	-9.448978e-02	1.700000e-01	-0.000000e+00	0.000000e+00	5.791199e-05	1.335509e+01	1.988280e+01	0.000000e+00	9.982000e+02	-2.276759e+04	-6.590971e-02	-9.121140e-01	6.403438e+00	3.677171e-01	-2.431361e-05	-3.364723e-04	9.626754e-04	
7	16	1	12	1.495204e-01	-9.463193e-02	1.700000e-01	-0.000000e+00	0.000000e+00	1.625170e-05	1.337518e+01	2.113307e+01	0.000000e+00	9.982000e+02	-2.275018e+04	5.981896e-02	-7.833278e-01	5.988646e+00	9.634775e-02	5.783232e-06	-7.573128e-05	1.830366e-04	
7	16	2	1	2.111972e-02	-1.611093e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.264899e-06	2.277102e+00	2.985040e+00	0.000000e+00	9.982000e+02	-4.933749e+04	-4.119033e+00	-5.431595e+00	8.217086e+00	1.852946e-02	-7.651330e-05	-1.008948e-04	3.909384e-05	
7	16	2	2	2.673892e-02	-2.103210e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.079014e-05	2.972656e+00	3.779252e+00	0.000000e+00	9.982000e+02	-4.013405e+04	-3.379114e+00	-4.218520e+00	8.410068e+00	9.056905e-02	-3.066073e-04	-3.827716e-04	3.288139e-04	
7	16	2	3	3.698812e-02	-3.002921e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.959593e-05	4.244298e+00	5.227864e+00	0.000000e+00	9.982000e+02	-3.214013e+04	-2.827086e+00	-3.347804e+00	7.634960e+00	1.492364e-01	-4.227407e-04	-5.006049e-04	5.071536e-04	
7	16	2	4	4.857820e-02	-4.028162e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.592293e-05	5.693364e+00	6.865994e+00	0.000000e+00	9.982000e+02	-2.774304e+04	-2.342963e+00	-2.724318e+00	7.152318e+00	1.846676e-01	-4.336715e-04	-5.042586e-04	5.901094e-04	
7	16	2	5	6.011041e-02	-5.059602e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.258280e-05	7.151191e+00	8.495945e+00	0.000000e+00	9.982000e+02	-2.546436e+04	-1.875714e+00	-2.216343e+00	6.788705e+00	2.199342e-01	-4.136354e-04	-4.887514e-04	6.379821e-04	
7	16	2	6	7.167298e-02	-6.087030e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.947292e-05	8.603347e+00	1.013019e+01	0.000000e+00	9.982000e+02	-2.423351e+04	-1.477405e+00	-1.835219e+00	6.591018e+00	2.583995e-01	-3.828615e-04	-4.755871e-04	7.079249e-04	
7	16	2	7	8.345060e-02	-7.088962e-02	1.700000e-01	0.000000e+00	0.000000e+00	4.652014e-05	1.001947e+01	1.179482e+01	0.000000e+00	9.982000e+02	-2.354541e+04	-1.132230e+00	-1.539181e+00	6.485421e+00	2.994569e-01	-3.400736e-04	-4.623043e-04	7.959379e-04	
7	16	2	8	9.570141e-02	-8.034694e-02	1.700000e-01	0.000000e+00	0.000000e+00	5.373321e-05	1.135616e+01	1.352634e+01	0.000000e+00	9.982000e+02	-2.315625e+04	-8.381741e-01	-1.315328e+00	6.416585e+00	3.420949e-01	-2.876154e-04	-4.513485e-04	8.889740e-04	
7	16	2	9	1.088099e-01	-8.875138e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.105401e-05	1.254403e+01	1.537908e+01	0.000000e+00	9.982000e+02	-2.293865e+04	-5.593796e-01	-1.125772e+00	6.333489e+00	3.835681e-01	-2.152273e-04	-4.331531e-04	9.563256e-04	
7	16	2	10	1.233440e-01	-9.528888e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.852322e-05	1.346803e+01	1.743331e+01	0.000000e+00	9.982000e+02	-2.282265e+04	-3.049647e-01	-9.715598e-01	6.247694e+00	4.244128e-01	-1.298467e-04	-4.136672e-04	9.997734e-04	
7	16	2	11	1.378901e-01	-9.851022e-02	1.700000e-01	-0.000000e+00	0.000000e+00	5.717338e-05	1.392334e+01	1.948925e+01	0.000000e+00	9.982000e+02	-2.276759e+04	-8.865623e-02	-9.029020e-01	6.407948e+00	3.633491e-01	-3.231495e-05	-3.291053e-04	9.560871e-04	
7	16	2	12	1.467147e-01	-9.892700e-02	1.700000e-01	-0.000000e+00	0.000000e+00	1.605327e-05	1.398224e+01	2.073651e+01	0.000000e+00	9.982000e+02	-2.275018e+04	4.341734e-02	-7.773292e-01	6.004621e+00	9.544977e-02	4.158225e-06	-7.444745e-05	1.846830e-04	
7	16	3	1	2.067553e-02	-1.667724e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.243234e-06	2.357144e+00	2.922259e+00	0.000000e+00	9.982000e+02	-4.933749e+04	-4.262304e+00	-5.320748e+00	8.213559e+00	1.834502e-02	-7.838577e-05	-9.785104e-05	3.861799e-05	
7	16	3	2	2.616694e-02	-2.173984e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.065804e-05	3.072688e+00	3.698408e+00	0.000000e+00	9.982000e+02	-4.013405e+04	-3.490633e+00	-4.129894e+00	8.409200e+00	8.945217e-02	-3.128192e-04	-3.701076e-04	3.246780e-04	
7	16	3	3	3.618254e-02	-3.099538e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.931208e-05	4.380856e+00	5.114004e+00	0.000000e+00	9.982000e+02	-3.214013e+04	-2.913520e+00	-3.276764e+00	7.634917e+00	1.470757e-01	-4.293563e-04	-4.828865e-04	4.998671e-04	
7	16	3	4	4.749964e-02	-4.154821e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.553066e-05	5.872382e+00	6.713551e+00	0.000000e+00	9.982000e+02	-2.774304e+04	-2.410758e+00	-2.666242e+00	7.154671e+00	1.819369e-01	-4.396197e-04	-4.862090e-04	5.821804e-04	
7	16	3	5	5.874277e-02	-5.217788e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.209269e-05	7.374770e+00	8.302644e+00	0.000000e+00	9.982000e+02	-2.546436e+04	-1.930323e+00	-2.169186e+00	6.791643e+00	2.167335e-01	-4.194771e-04	-4.713844e-04	6.301706e-04	
7	16	3	6	7.000692e-02	-6.277965e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.890165e-05	8.873212e+00	9.894708e+00	0.000000e+00	9.982000e+02	-2.423351e+04	-1.523300e+00	-1.796023e+00	6.592771e+00	2.547521e-01	-3.891750e-04	-4.588508e-04	6.994836e-04	
7	16	3	7	8.148578e-02	-7.314011e-02	1.700000e-01	0.000000e+00	0.000000e+00	4.587861e-05	1.033755e+01	1.151712e+01	0.000000e+00	9.982000e+02	-2.354541e+04	-1.172026e+00	-1.506374e+00	6.485371e+00	2.953638e-01	-3.472054e-04	-4.462536e-04	7.863785e-04	
7	16	3	8	9.344609e-02	-8.295976e-02	1.700000e-01	0.000000e+00	0.000000e+00	5.302207e-05	1.172545e+01	1.320758e+01	0.000000e+00	9.982000e+02	-2.315625e+04	-8.728662e-01	-1.288055e+00	6.416431e+00	3.376149e-01	-2.955871e-04	-4.361865e-04	8.791699e-04	
7	16	3	9	1.062884e-01	-9.175690e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.028347e-05	1.296883e+01	1.502270e+01	0.000000e+00	9.982000e+02	-2.293865e+04	-5.888572e-01	-1.104213e+00	6.334600e+00	3.788513e-01	-2.237759e-04	-4.196200e-04	9.472208e-04	
7	16	3	10	1.206041e-01	-9.873494e-02	1.700000e-01	0.000000e+00	0.000000e+00	6.770277e-05	1.395510e+01	1.704606e+01	0.000000e+00	9.982000e+02	-2.282265e+04	-3.295142e-01	-9.574690e-01	6.250108e+00	4.195582e-01	-1.386902e-04	-4.029920e-04	9.921984e-04	
7	16	3	11	1.350264e-01	-1.024017e-01	1.700000e-01	-0.000000e+00	0.000000e+00	5.652765e-05	1.447336e+01	1.908449e+01	0.000000e+00	9.982000e+02	-2.276759e+04	-1.100513e-01	-8.930675e-01	6.413808e+00	3.596359e-01	-3.970208e-05	-3.221827e-04	9.517441e-04	
7	16	3	12	1.438201e-01	-1.030908e-01	1.700000e-01	-0.000000e+00	0.000000e+00	1.587799e-05	1.457075e+01	2.032738e+01	0.000000e+00	9.982000e+02	-2.275018e+04	2.765801e-02	-7.706895e-01	6.020869e+00	9.468247e-02	2.627511e-06	-7.321552e-05	1.863910e-04	
7	16	4	1	2.021953e-02	-1.722732e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.232247e-06	2.434893e+00	2.857808e+00	0.000000e+00	9.982000e+02	-4.933749e+04	-4.401315e+00	-5.207014e+00	8.209922e+00	1.824783e-02	-8.051252e-05	-9.525103e-05	3.832557e-05	
7	16	4	2	2.558217e-02	-2.242524e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.057743e-05	3.169561e+00	3.615758e+00	0.000000e+00	9.982000e+02	-4.013405e+04	-3.598614e+00	-4.039589e+00	8.408541e+00	8.876923e-02	-3.200334e-04	-3.592503e-04	3.221268e-04	
7	16	4	3	3.536196e-02	-3.192857e-02	1.700000e-01	0.000000e+00	0.000000e+00	1.912252e-05	4.512752e+00	4.998025e+00	0.000000e+00	9.982000e+02	-3.214013e+04	-2.996381e+00	-3.204674e+00	7.634819e+00	1.456326e-01	-4.372329e-04	-4.676272e-04	4.950247e-04	
7	16	4	4	4.640263e-02	-4.277005e-02	1.700000e-01	0.000000e+00	0.000000e+00	2.525626e-05	6.045076e+00	6.558502e+00	0.000000e+00	9.982000e+02	-2.774304e+04	-2.475641e+00	-2.607471e+00	7.156793e+00	1.800382e-01	-4.467384e-04	-4.705276e-04	5.768137e-04	
7	16	4	5	5.735225e-02	-5.370269e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.173291e-05	7.590285e+00	8.106110e+00	0.000000e+00	9.982000e+02	-2.546436e+04	-1.982783e+00	-2.121461e+00	6.794453e+00	2.144037e-01	-4.262406e-04	-4.560523e-04	6.247224e-04	
7	16	4	6	6.831229e-02	-6.461976e-02	1.700000e-01	0.000000e+00	0.000000e+00	3.846797e-05	9.133292e+00	9.655191e+00	0.000000e+00	9.982000e+02	-2.423351e+04	-1.567394e+00	-1.756331e+00	6.594083e+00	2.519827e-01	-3.960802e-04	-4.438246e-04	6.931034e-04	
7	16	4	7	7.948565e-02	-7.530929e-02	1.700000e-01	0.000000e+00	0.000000e+00	4.537783e-05	1.064414e+01	1.123442e+01	0.000000e+00	9.982000e+02	-2.354541e+04	-1.210208e+00	-1.473204e+00	6.485479e+00	2.921785e-01	-3.546413e-04	-4.317102e-04	7.791185e-04	
