b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
4	1	4	1	3.512653e-02	-2.790882e-02	5.890053e-02	6.864164e-06	9.883328e-06	8.227953e-06	3.944605e+00	4.964749e+00	0.000000e+00	9.982000e+02	-2.057014e+03	-1.959076e+00	5.430506e-01	1.023644e+01	-1.093775e-04	-1.392940e-05	-2.042476e-05	-1.807847e-05	
4	1	4	2	4.030078e-02	-3.147860e-02	5.858710e-02	2.477456e-05	3.179047e-05	4.076914e-05	4.449154e+00	5.696072e+00	0.000000e+00	9.982000e+02	8.863199e+02	-2.758676e+00	2.886368e-01	8.596592e+00	1.425443e-05	2.195825e-05	2.823128e-05	3.632264e-05	
4	1	4	3	4.938851e-02	-3.841210e-02	5.808972e-02	3.196811e-05	3.509650e-05	6.832717e-05	5.429127e+00	6.980522e+00	0.000000e+00	9.982000e+02	8.718265e+03	-2.672787e+00	2.779065e-01	7.233452e+00	1.193313e-03	2.775553e-04	3.085572e-04	6.088010e-04	
4	1	4	4	5.934758e-02	-4.664435e-02	5.761080e-02	3.146992e-05	3.314730e-05	7.915812e-05	6.592666e+00	8.388127e+00	0.000000e+00	9.982000e+02	1.215310e+04	-2.091206e+00	2.657346e-01	6.853575e+00	1.258351e-03	3.901909e-04	4.141008e-04	9.968556e-04	
4	1	4	5	6.916609e-02	-5.491791e-02	5.746617e-02	2.744921e-05	3.421833e-05	8.974073e-05	7.762042e+00	9.775866e+00	0.000000e+00	9.982000e+02	1.487194e+04	-1.584550e+00	-5.445825e-02	6.607189e+00	1.528666e-03	4.173531e-04	5.232174e-04	1.382690e-03	
4	1	4	6	7.894927e-02	-6.313325e-02	5.748796e-02	2.955854e-05	3.401682e-05	9.975560e-05	8.923190e+00	1.115861e+01	0.000000e+00	9.982000e+02	1.514318e+04	-8.597156e-01	-8.392550e-02	6.732492e+00	3.139029e-05	4.498175e-04	5.176909e-04	1.518369e-03	
4	1	4	7	8.887839e-02	-7.108648e-02	5.769915e-02	2.491469e-05	4.001101e-05	1.092237e-04	1.004729e+01	1.256198e+01	0.000000e+00	9.982000e+02	1.393503e+04	-9.471042e-02	3.807461e-02	6.901239e+00	-1.566956e-04	3.469942e-04	5.572190e-04	1.520048e-03	
4	1	4	8	9.921662e-02	-7.844149e-02	5.827705e-02	2.135324e-05	4.308753e-05	1.194981e-04	1.108684e+01	1.402318e+01	0.000000e+00	9.982000e+02	1.292695e+04	3.384759e-01	7.566871e-03	6.974260e+00	-2.652603e-04	2.744563e-04	5.539945e-04	1.534583e-03	
4	1	4	9	1.102903e-01	-8.479632e-02	5.919437e-02	1.174124e-05	5.094071e-05	1.288785e-04	1.198503e+01	1.558832e+01	0.000000e+00	9.982000e+02	1.103071e+04	5.984942e-01	5.717163e-02	7.176213e+00	-3.371526e-04	1.280545e-04	5.564404e-04	1.405400e-03	
4	1	4	10	1.226007e-01	-8.942445e-02	6.065752e-02	-1.976445e-06	5.935941e-05	1.373055e-04	1.263916e+01	1.732826e+01	0.000000e+00	9.982000e+02	9.400144e+03	7.026089e-01	2.616051e-01	7.206375e+00	-2.847358e-04	-1.859449e-05	5.523614e-04	1.275800e-03	
4	1	4	11	1.349485e-01	-9.127740e-02	6.292340e-02	-2.533249e-05	5.690187e-05	1.079860e-04	1.290106e+01	1.907348e+01	0.000000e+00	9.982000e+02	1.138618e+04	7.027697e-01	2.608252e-01	7.051493e+00	-1.743035e-04	-2.857096e-04	6.414380e-04	1.216154e-03	
4	1	4	12	1.424462e-01	-9.115333e-02	6.484524e-02	-1.084857e-05	1.649922e-05	2.891334e-05	1.288352e+01	2.013320e+01	0.000000e+00	9.982000e+02	1.583904e+04	7.730762e-01	3.207504e-01	6.761894e+00	-2.927675e-05	-1.727300e-04	2.626558e-04	4.600964e-04	
4	2	4	1	3.747516e-02	-2.575432e-02	5.423216e-02	4.430949e-06	1.195363e-05	7.609707e-06	3.640090e+00	5.296702e+00	0.000000e+00	9.982000e+02	4.716369e+03	-9.365483e-01	1.374860e+00	8.825449e+00	-1.676743e-05	2.095142e-05	5.645632e-05	3.580664e-05	
4	2	4	2	4.308795e-02	-2.848801e-02	5.436942e-02	1.896565e-05	3.850738e-05	3.832196e-05	4.026467e+00	6.090008e+00	0.000000e+00	9.982000e+02	7.589850e+03	-1.533193e+00	1.224612e+00	7.640430e+00	-1.247601e-04	1.443985e-04	2.926408e-04	2.904258e-04	
