	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
2	4.5398e-01	2.7574e-01	9.5840e-02	8.0607e-02	6.0496e-02	4.8560e-02	9.7119e-02	5.9625e-02	3.4863e-02	8.1382e-01	4.2480e-01	1.5577e-01	7.7899e+00	5.1323e+00	2.8208e+00	5.3960e-01	4.8012e-01	3.4870e-01	6.4856e-01	4.1311e-01	1.6244e-01	1.7260e+00	1.0580e+00	3.5947e-01
4	2.7281e-01	1.6197e-01	5.7893e-02	8.6983e-02	7.1815e-02	5.8604e-02	6.7878e-02	4.2269e-02	1.8958e-02	4.2440e-01	2.4906e-01	1.2622e-01	4.9228e+00	3.4411e+00	2.0444e+00	5.3861e-01	4.0028e-01	2.5817e-01	5.3282e-01	3.1497e-01	1.4547e-01	1.3119e+00	7.6506e-01	3.0225e-01
6	1.9485e-01	1.1225e-01	5.3783e-02	6.6068e-02	5.0300e-02	4.1381e-02	4.9332e-02	3.1757e-02	1.9634e-02	3.0540e-01	1.6432e-01	8.6850e-02	4.2546e+00	2.8337e+00	1.6328e+00	4.5515e-01	3.4864e-01	2.5563e-01	3.5611e-01	2.0729e-01	1.3497e-01	9.4155e-01	5.1598e-01	2.1765e-01
8	1.4281e-01	7.3997e-02	3.8044e-02	5.0633e-02	3.5975e-02	2.9187e-02	3.7476e-02	2.3398e-02	1.7919e-02	2.2776e-01	1.2429e-01	7.1438e-02	3.0986e+00	1.8550e+00	1.0352e+00	4.8412e-01	3.6533e-01	2.6246e-01	3.2898e-01	2.1351e-01	1.3064e-01	6.8196e-01	3.8469e-01	2.0741e-01
10	1.1206e-01	5.5202e-02	3.4397e-02	4.0153e-02	2.9016e-02	2.1973e-02	3.2898e-02	1.9131e-02	1.3115e-02	1.8432e-01	9.9086e-02	5.5322e-02	2.4600e+00	1.6973e+00	9.4002e-01	4.2685e-01	3.0290e-01	2.1497e-01	2.7968e-01	1.7727e-01	1.1639e-01	6.3796e-01	3.6458e-01	2.0406e-01
12	9.1398e-02	5.2998e-02	3.0493e-02	4.3098e-02	3.3398e-02	2.8230e-02	2.5593e-02	1.5986e-02	8.7968e-03	1.4849e-01	7.9415e-02	4.5291e-02	2.3976e+00	1.7433e+00	1.0023e+00	3.7105e-01	2.7602e-01	1.8073e-01	2.5049e-01	1.6975e-01	1.1898e-01	5.6292e-01	3.2423e-01	1.7181e-01
14	8.9490e-02	5.3503e-02	3.1224e-02	4.8316e-02	3.5308e-02	2.8306e-02	2.1416e-02	1.3577e-02	7.5035e-03	1.2276e-01	6.6674e-02	3.8081e-02	2.3293e+00	1.7378e+00	1.0621e+00	3.4795e-01	2.5536e-01	1.6686e-01	2.6383e-01	1.8359e-01	1.2942e-01	4.9183e-01	2.8361e-01	1.7115e-01
16	9.0898e-02	5.6622e-02	3.2572e-02	4.6680e-02	3.1612e-02	2.2755e-02	1.9252e-02	1.2190e-02	8.2908e-03	1.0311e-01	5.7388e-02	3.2485e-02	2.3301e+00	1.7055e+00	1.0522e+00	3.1044e-01	2.1973e-01	1.4436e-01	2.5507e-01	1.7130e-01	1.1728e-01	4.7238e-01	2.9733e-01	2.0040e-01
18	8.2761e-02	4.9188e-02	2.7369e-02	4.0565e-02	2.7168e-02	1.8505e-02	1.8862e-02	1.2742e-02	1.0242e-02	8.9178e-02	4.9106e-02	2.6921e-02	2.3886e+00	1.6675e+00	9.9230e-01	2.7795e-01	1.9582e-01	1.2401e-01	2.2716e-01	1.4536e-01	9.8144e-02	4.6304e-01	3.0332e-01	2.0854e-01
20	7.0066e-02	3.8463e-02	2.0760e-02	3.3247e-02	2.2181e-02	1.3491e-02	1.8845e-02	1.3071e-02	1.0405e-02	7.4295e-02	3.9370e-02	2.0617e-02	2.4711e+00	1.6444e+00	8.7303e-01	2.5998e-01	1.8211e-01	1.1246e-01	2.0172e-01	1.2309e-01	8.1073e-02	4.2729e-01	2.8066e-01	1.9855e-01
22	5.7253e-02	3.0124e-02	1.7397e-02	2.7455e-02	1.7193e-02	1.0145e-02	1.6449e-02	1.1248e-02	8.0476e-03	6.2876e-02	3.2845e-02	1.8625e-02	2.3087e+00	1.4702e+00	7.4656e-01	2.4212e-01	1.6758e-01	1.0017e-01	1.7850e-01	1.0745e-01	6.7574e-02	3.7519e-01	2.5053e-01	1.8217e-01
24	5.2884e-02	3.0317e-02	2.1142e-02	2.6403e-02	1.7216e-02	1.4408e-02	1.3513e-02	8.4694e-03	5.1507e-03	5.9388e-02	3.4110e-02	2.4678e-02	2.0033e+00	1.1959e+00	6.2554e-01	2.1966e-01	1.4775e-01	8.9897e-02	1.5573e-01	8.7300e-02	5.3870e-02	3.4727e-01	2.3873e-01	1.6929e-01
26	5.6811e-02	3.5035e-02	2.1799e-02	2.8142e-02	2.0574e-02	1.7141e-02	1.2222e-02	7.0454e-03	4.7071e-03	6.0499e-02	3.8071e-02	2.9024e-02	1.7534e+00	1.0106e+00	5.5041e-01	2.0203e-01	1.3230e-01	8.0816e-02	1.3004e-01	6.6887e-02	3.9582e-02	3.3196e-01	2.3008e-01	1.5905e-01
28	5.9632e-02	3.7093e-02	2.0850e-02	2.9655e-02	2.2381e-02	1.7502e-02	1.2104e-02	7.7145e-03	6.1493e-03	6.0387e-02	3.8870e-02	2.7858e-02	1.5679e+00	8.8097e-01	4.5797e-01	1.9225e-01	1.2762e-01	8.0880e-02	1.0791e-01	5.2254e-02	3.0108e-02	3.2031e-01	2.1970e-01	1.4164e-01
30	5.9252e-02	3.6237e-02	1.9760e-02	2.8689e-02	2.1421e-02	1.6214e-02	1.2887e-02	8.9132e-03	7.9132e-03	5.6366e-02	3.4894e-02	2.3326e-02	1.3812e+00	7.2860e-01	3.6062e-01	1.8182e-01	1.2432e-01	7.8809e-02	9.1906e-02	4.6364e-02	2.8559e-02	3.0722e-01	2.0711e-01	1.2300e-01
32	5.5249e-02	3.3027e-02	1.8740e-02	2.5387e-02	1.8298e-02	1.3334e-02	1.3681e-02	9.7460e-03	9.2433e-03	4.9494e-02	2.8244e-02	1.7185e-02	1.2386e+00	6.1996e-01	3.0123e-01	1.6994e-01	1.1596e-01	7.2970e-02	7.8798e-02	4.0874e-02	2.6301e-02	2.9911e-01	1.9775e-01	1.1686e-01
34	4.6886e-02	2.7161e-02	1.6516e-02	2.0592e-02	1.3903e-02	1.0681e-02	1.3781e-02	9.5146e-03	9.2910e-03	4.4761e-02	2.3257e-02	1.3277e-02	1.1282e+00	5.6468e-01	2.5830e-01	1.5762e-01	1.0646e-01	6.9732e-02	6.6873e-02	3.5901e-02	2.3413e-02	2.9973e-01	1.9115e-01	1.1706e-01
36	4.0608e-02	2.1486e-02	1.4233e-02	1.7253e-02	1.1772e-02	8.8855e-03	1.2610e-02	8.1079e-03	7.9179e-03	4.4622e-02	2.2145e-02	1.3270e-02	9.9402e-01	5.2160e-01	2.3280e-01	1.4865e-01	9.7661e-02	6.2735e-02	5.9181e-02	3.2380e-02	2.1773e-02	2.9025e-01	1.8364e-01	1.1586e-01
38	3.7346e-02	2.0082e-02	1.4426e-02	1.6967e-02	1.2403e-02	9.7250e-03	1.0733e-02	6.1865e-03	5.8486e-03	4.4308e-02	2.3465e-02	1.5570e-02	8.6083e-01	4.6870e-01	2.0705e-01	1.3977e-01	8.9427e-02	5.4305e-02	5.5897e-02	3.1824e-02	2.2326e-02	2.7388e-01	1.7566e-01	1.1333e-01
40	3.4548e-02	1.9309e-02	1.3098e-02	1.7172e-02	1.2815e-02	9.1727e-03	8.7713e-03	4.5607e-03	3.8367e-03	4.4141e-02	2.5375e-02	1.8561e-02	7.6063e-01	4.0504e-01	1.9686e-01	1.3065e-01	8.1563e-02	4.6034e-02	5.2149e-02	3.0487e-02	2.1391e-02	2.6006e-01	1.6798e-01	1.0757e-01
