b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
6	1	1	1	5.138167e-02	3.654109e-02	-8.119399e-02	-7.855754e-07	-5.586772e-07	3.578567e-06	-5.164681e+00	7.262234e+00	0.000000e+00	9.982000e+02	5.083936e+04	-3.134666e+00	2.321602e+00	5.575786e+00	-2.042869e-02	1.108451e-04	-1.192819e-05	-2.944930e-04	
6	1	1	2	5.574721e-02	3.973696e-02	-7.973670e-02	-3.231592e-06	-2.303521e-06	1.473236e-05	-5.616383e+00	7.879256e+00	0.000000e+00	9.982000e+02	4.983466e+04	-3.085495e+00	2.074166e+00	5.758530e+00	-8.845402e-02	4.552961e-04	-4.891768e-05	-1.228467e-03	
6	1	1	3	6.369598e-02	4.561129e-02	-7.707455e-02	-4.902139e-06	-3.510370e-06	2.238284e-05	-6.446654e+00	9.002726e+00	0.000000e+00	9.982000e+02	4.964565e+04	-2.972753e+00	1.676840e+00	6.216388e+00	-1.461338e-01	6.922526e-04	-5.051251e-05	-1.991865e-03	
6	1	1	4	7.269928e-02	5.230530e-02	-7.405282e-02	-5.633793e-06	-4.053384e-06	2.576504e-05	-7.392778e+00	1.027524e+01	0.000000e+00	9.982000e+02	4.860595e+04	-2.881459e+00	1.458517e+00	6.442672e+00	-1.749883e-01	7.833175e-04	-3.990024e-05	-2.350693e-03	
6	1	1	5	8.169121e-02	5.901460e-02	-7.103109e-02	-6.321440e-06	-4.566651e-06	2.895040e-05	-8.341065e+00	1.154615e+01	0.000000e+00	9.982000e+02	4.758323e+04	-2.861730e+00	1.333473e+00	6.654423e+00	-2.033836e-01	8.850976e-04	-3.416482e-05	-2.699322e-03	
6	1	1	6	9.063457e-02	6.579039e-02	-6.800936e-02	-6.975276e-06	-5.063217e-06	3.199760e-05	-9.298747e+00	1.281020e+01	0.000000e+00	9.982000e+02	4.648356e+04	-2.881587e+00	1.243689e+00	6.871661e+00	-2.322624e-01	9.950182e-04	-2.939697e-05	-3.046598e-03	
6	1	1	7	9.950973e-02	7.265889e-02	-6.498764e-02	-7.627601e-06	-5.569415e-06	3.506134e-05	-1.026954e+01	1.406461e+01	0.000000e+00	9.982000e+02	4.504965e+04	-2.937554e+00	1.154797e+00	7.116327e+00	-2.637379e-01	1.120120e-03	-2.369247e-05	-3.410080e-03	
6	1	1	8	1.083952e-01	7.951237e-02	-6.196591e-02	-8.253507e-06	-6.054246e-06	3.799994e-05	-1.123820e+01	1.532046e+01	0.000000e+00	9.982000e+02	4.314425e+04	-3.007675e+00	1.027303e+00	7.395564e+00	-2.974283e-01	1.253477e-03	-8.176964e-06	-3.775632e-03	
6	1	1	9	1.173771e-01	8.623363e-02	-5.894418e-02	-8.881526e-06	-6.525001e-06	4.091305e-05	-1.218817e+01	1.658996e+01	0.000000e+00	9.982000e+02	4.051313e+04	-3.118575e+00	8.844804e-01	7.727095e+00	-3.353125e-01	1.411250e-03	1.325974e-05	-4.155020e-03	
6	1	1	10	1.268293e-01	9.232770e-02	-5.592245e-02	-9.614146e-06	-6.998611e-06	4.423058e-05	-1.304950e+01	1.792593e+01	0.000000e+00	9.982000e+02	3.574640e+04	-3.326485e+00	7.450594e-01	8.148250e+00	-3.859388e-01	1.646133e-03	3.082076e-05	-4.584584e-03	
6	1	1	11	1.376915e-01	9.392122e-02	-5.326030e-02	-7.994077e-06	-5.452114e-06	3.558959e-05	-1.327473e+01	1.946118e+01	0.000000e+00	9.982000e+02	3.170897e+04	-3.475346e+00	5.788335e-01	8.751084e+00	-3.350161e-01	1.496378e-03	6.805829e-05	-3.945116e-03	
6	1	1	12	1.456506e-01	9.170812e-02	-5.180301e-02	-2.253322e-06	-1.418763e-06	1.015013e-05	-1.296193e+01	2.058611e+01	0.000000e+00	9.982000e+02	2.810254e+04	-3.555829e+00	6.583859e-01	9.046207e+00	-9.940442e-02	4.426961e-04	9.402542e-06	-1.134140e-03	
6	1	2	1	5.227140e-02	3.525689e-02	-8.119399e-02	-7.863527e-07	-5.303922e-07	3.521158e-06	-4.983173e+00	7.387987e+00	0.000000e+00	9.982000e+02	5.090779e+04	-3.079447e+00	2.399361e+00	5.573708e+00	-2.009104e-02	1.088106e-04	-1.433492e-05	-2.900534e-04	
6	1	2	2	5.672207e-02	3.833288e-02	-7.973670e-02	-3.234377e-06	-2.185816e-06	1.449172e-05	-5.417931e+00	8.017041e+00	0.000000e+00	9.982000e+02	4.987650e+04	-3.033197e+00	2.147139e+00	5.756175e+00	-8.697468e-02	4.467795e-04	-5.891582e-05	-1.209415e-03	
6	1	2	3	6.482826e-02	4.398747e-02	-7.707455e-02	-4.911331e-06	-3.332508e-06	2.203322e-05	-6.217146e+00	9.162761e+00	0.000000e+00	9.982000e+02	4.969661e+04	-2.930203e+00	1.747155e+00	6.213648e+00	-1.438003e-01	6.803548e-04	-6.636716e-05	-1.962232e-03	
