b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
3	8	1	1	-6.155104e-02	-2.000786e-02	-8.074128e-02	3.858153e-06	1.254111e-06	1.505829e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	5.054383e+04	2.649293e+00	-2.898320e+00	5.465950e+00	8.817112e-02	4.295004e-04	-1.928606e-04	1.245280e-03	
3	8	1	2	-7.241549e-02	-2.217412e-02	-7.777312e-02	1.328742e-05	4.068122e-06	5.158330e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.990147e+04	2.250103e+00	-2.487955e+00	5.982804e+00	3.298352e-01	1.406801e-03	-6.177155e-04	4.553030e-03	
3	8	1	3	-8.882010e-02	-2.528288e-02	-7.329739e-02	1.682790e-05	4.789605e-06	6.494468e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.807098e+04	2.076905e+00	-2.137670e+00	6.133054e+00	4.259788e-01	1.696320e-03	-6.796110e-04	5.744800e-03	
3	8	1	4	-1.054575e-01	-2.824089e-02	-6.876480e-02	2.005647e-05	5.370870e-06	7.707038e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.626762e+04	2.248878e+00	-2.017061e+00	6.445107e+00	5.342955e-01	2.131644e-03	-8.287505e-04	7.017484e-03	
3	8	1	5	-1.221010e-01	-3.109509e-02	-6.423220e-02	2.324494e-05	5.919704e-06	8.903591e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.411220e+04	2.579103e+00	-1.981615e+00	6.884081e+00	6.648212e-01	2.744095e-03	-1.055430e-03	8.519633e-03	
3	8	1	6	-1.387376e-01	-3.391584e-02	-5.969961e-02	2.640059e-05	6.453959e-06	1.008810e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.103831e+04	2.814946e+00	-1.865962e+00	7.376304e+00	8.111618e-01	3.371543e-03	-1.247358e-03	1.014174e-02	
3	8	1	7	-1.551554e-01	-3.669925e-02	-5.522388e-02	2.873249e-05	6.796262e-06	1.095943e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.467074e+04	3.179617e+00	-1.735009e+00	8.051861e+00	9.687746e-01	4.081465e-03	-1.442614e-03	1.162138e-02	
3	8	1	8	-1.660380e-01	-3.855165e-02	-5.225572e-02	1.054050e-05	2.447352e-06	4.016573e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.691619e+04	3.646039e+00	-1.485210e+00	8.880226e+00	3.948143e-01	1.724797e-03	-5.189763e-04	4.595671e-03	
3	8	2	1	-6.229509e-02	-1.756318e-02	-8.074128e-02	3.561189e-06	1.004005e-06	1.373429e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	5.038473e+04	2.560900e+00	-3.096153e+00	5.498222e+00	8.079099e-02	3.871482e-04	-2.003014e-04	1.138250e-03	
3	8	2	2	-7.324043e-02	-1.928577e-02	-7.777312e-02	1.223912e-05	3.222434e-06	4.698239e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	4.989240e+04	2.214505e+00	-2.595711e+00	6.170498e+00	3.100055e-01	1.299241e-03	-6.438726e-04	4.264611e-03	
