# EASY A2.0-S(PCA)
# FINAL SOLUTION FILE
# Level id:1  -  Level type: EA
# Number of entries: 100
# Number of objectives: 3
# Total variables: 52 - Free variables: 52
# Number of constraints: 48
# Obj / <id> / Free Vars / Constraints
0.0800119 0.389612 1.57679  	 2102 	 0.28756974201546 0.43829057899128 0.53599900244186 0.71689514513813 0.42029123053374 0.28557698776767 -0.53706773508593 0.387290085456 -0.7651421609857 -0.57868278765754 -0.69540047506393 -0.6592391940023 0.33118161281667 0.14284076254131 0.31423508703294 2.1332551949312 1.0346847195222 0.81389042604294 0.2053560326435 1.3471267685213 0.36615719139817 0.65317842496434 0.27241661372717 0.46133578898424 1.7380858073836 -0.0049109116828179 0.80827031385748 1.4026013134801 1.5761086013067 0.97135032398954 -0.7178670302702 0.62384179477099 -1.3658798296489 1.0931078383494 1.2726418740121 -0.48121247926339 173.205551091 9.7517686556093 143.71340562598 26.982156363955 98.200920059126 10.217262842136 47.722241938719 29.212094845283 184.09526412006 -32.509393880197 158.04867825362 -28.691143658409 67.949950377693 -22.148458412669 43.013230649476 -41.594073261312  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00371876 0.006974716652136 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00540674 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.0029909 -1e+20 
0.085216031 0.3499502 1.49171  	 2160 	 0.29365632586037 0.4402405240061 0.54068268341784 0.71907677900963 0.41872325696308 0.27977097939076 -0.53573188557287 0.41321843098017 -0.76710718855842 -0.52250981785332 -0.69146832175232 -0.64878471548815 0.33598267601648 0.13064650012862 0.33042423958586 2.122013767793 1.0330780154199 0.78408410502292 0.20425772184094 1.2858724525684 0.34895717534941 0.66564805986762 0.2501817476292 0.47131128914836 1.7011500547376 0.01045708111442 0.89274247710792 1.1829994681555 1.5627969307077 0.89653438441212 -0.71703889487549 0.66850536347107 -1.3574113317873 1.0909256200565 1.2649984076011 -0.4552216396604 174.55813309963 9.9233283185189 139.88379833932 26.239281986137 96.844761286524 12.320858963131 48.095845502701 29.959615132977 181.78534738574 -32.721460683145 159.83971974904 -29.87764243882 68.087151414987 -23.439013422101 43.168143711221 -41.016436215798  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00347389 0.024411508282476 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.02494 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00298445 -1e+20 
0.09577551 0.3358836 1.39937  	 2619 	 0.30012060567992 0.43559785995405 0.52554875811624 0.71766914066933 0.43461043142144 0.28219627207651 -0.53038808882885 0.4013540343545 -0.76415294307315 -0.47819148975814 -0.70009202617901 -0.6370607403838 0.34637782034259 0.11879534828131 0.33599287155207 2.0951015839329 0.9775706003893 0.74931506698738 0.1992786552346 1.2425892607044 0.34476198724202 0.67004400328639 0.26247090238126 0.47739033053618 1.6736324446813 -0.011461733204934 0.87608725274292 0.91095302715898 1.4970566229044 0.93279428714451 -0.71450121533899 0.64359281699075 -1.3792350893812 1.049838104427 1.2441088848639 -0.46817621009073 175.24101469439 11.321047284464 136.91562994899 25.031669875999 98.791724653067 10.629185438459 47.785563236865 32.30850921723 180.70257744618 -32.223771025098 160.15493376065 -30.626438896167 68.850526149281 -24.617113817789 43.867155066919 -39.43703747428  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00400944 0.029860505666957 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.0248839 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00299911 -1e+20 
0.09627931 0.3225034 1.38502  	 3507 	 0.3046799208825 0.43715441811467 0.52971501293576 0.72105985361966 0.43162865745354 0.27659855576121 -0.53008688954577 0.40557639904745 -0.76649453028108 -0.4759520137898 -0.69472799719906 -0.63840649076657 0.34328916856683 0.10368974425336 0.34716314028921 2.115983549138 0.96837283185595 0.73687613564642 0.1997197273874 1.2378971148061 0.33806996866904 0.6696073192221 0.24930981377433 0.470760264521 1.654071855443 -0.0014069610886276 0.88833865456588 0.85377115284978 1.4973202420608 0.91597009910629 -0.71398306722674 0.64954013175579 -1.3811686131135 1.0644464819828 1.2465702778423 -0.46655798221032 175.4887058927 10.873491253118 135.96217182508 24.699953792375 98.586873169848 11.543297663863 48.151086221664 33.046837307379 180.3254315869 -31.901664794002 160.1581633829 -31.087399678345 68.28092520752 -25.180000524209 43.667874959404 -39.778926052144  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.0036817 0.076721883173496 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.0240629 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00299821 -1e+20 
0.09809222 0.3176482 1.39396  	 3945 	 0.30155041393996 0.44060713982969 0.53133132046959 0.71927045525489 0.4329375866316 0.27878943530575 -0.52915099333392 0.40431761916678 -0.76341222739628 -0.4610502354553 -0.69526685223271 -0.63981536275244 0.3423666864824 0.11219980365633 0.33717805558618 2.1070065957147 0.9712723002999 0.7421782209365 0.19973246925217 1.2607353539567 0.33152949849884 0.6698917102933 0.25430752686958 0.47766205547023 1.6855262309805 -0.012282138334673 0.91825893842904 0.84870976161419 1.4929680144567 0.9267515699365 -0.71285524760009 0.65801980033063 -1.388319705084 1.0351377805742 1.2455781446796 -0.4621269714892 175.20461018838 11.248040759581 135.4963115384 24.70775551788 99.534076137223 10.582535887593 47.772265625329 33.060943817624 180.54570963098 -32.400103145837 161.44868672255 -31.31883997232 68.294901107163 -25.011557037904 43.582257555759 -39.594812526036  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00297941 0.078901482127288 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00484412 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00294241 -1e+20 
0.09890908 0.3323024 1.37874  	 2176 	 0.30360123752574 0.43022167259571 0.52835255912483 0.72810940207478 0.43660675514003 0.28938076152379 -0.52843062393675 0.37069834837105 -0.76314589812671 -0.4861601143826 -0.70348846693394 -0.63045789426539 0.34073138594045 0.14340219674031 0.38602596441326 2.2400632992035 0.97988745278821 0.73885044756472 0.19689181095856 1.2340316617583 0.351800189351 0.67204202501145 0.26063018103485 0.50180503526782 1.6233101817258 -0.0053611197183794 0.85943745617394 0.89500936347321 1.419418106971 0.99524807535612 -0.72468312731473 0.63103198590514 -1.4000720552118 1.0506275169965 1.2168319395584 -0.46643685011581 174.37581539092 10.553997633957 137.71151412922 25.859744543118 98.149443923953 10.336533958806 47.970626646405 33.269706520966 180.70178611093 -32.096488112107 158.02986327243 -31.419198417318 66.938416316462 -25.26707228146 43.534514383991 -38.808082279856  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00297181 0.03204010462075 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.0264583 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00297455 -1e+20 
0.09913171 0.3195658 1.35337  	 3662 	 0.30353042288187 0.43744232314196 0.52838643348433 0.71931844448656 0.43238219276757 0.2759797219001 -0.5302558234727 0.40954832450454 -0.76593820647259 -0.46930258629254 -0.69650329970584 -0.63876994757323 0.34717983619192 0.10574784569099 0.34092610691193 2.0965527524856 0.96991866778461 0.73804484907431 0.19888076842495 1.2284682853799 0.33677965943494 0.66943796343041 0.2535132307214 0.47174400308822 1.6521421374827 -0.001624514100893 0.89693269129911 0.85614702121259 1.5048164722171 0.91133284722041 -0.71292608002101 0.6552668215102 -1.3870454498309 1.059273682012 1.2573296983637 -0.46549194928667 175.49565005454 11.179958918584 135.95266420673 24.692735372297 98.670148370644 11.404363361314 47.998360820938 32.778683728068 180.24236230127 -32.13131960637 160.4525128351 -31.046516016139 68.476140825888 -25.179608760508 43.863610809344 -39.541672577542  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00315269 0.078901482127288 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.0245252 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00295621 -1e+20 
0.10011775 0.3145702 1.36787  	 3641 	 0.30458457878404 0.43900476171833 0.52949354053956 0.71923844593626 0.4329051659792 0.27651136259436 -0.52902344693293 0.41098299569222 -0.76497457580264 -0.45635147873303 -0.69535053682376 -0.63657359704335 0.34501424166232 0.10603838381548 0.34157291821671 2.0944044502984 0.96286340358922 0.72965972522911 0.19910488921743 1.2295698169115 0.33139649497957 0.67217980400936 0.25034511303126 0.47464398151316 1.6715916186397 -0.0078494438212258 0.91295677432532 0.78184340781931 1.4927512025019 0.90948118446583 -0.71102737925713 0.655160621269 -1.3862852707491 1.0460446183058 1.2377819508349 -0.46481685935199 175.81543417354 11.329762172015 134.72012419467 24.502446141273 99.466332303379 11.001849056631 47.991289512334 33.17687470042 179.85263788609 -32.197303213284 161.42622814351 -31.300318121405 68.506382809997 -25.401897808236 43.762261487013 -39.453508715289  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00297504 0.079991281604185 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00487531 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00299152 -1e+20 
0.10054508 0.327823 1.30954  	 2303 	 0.3072066767859 0.43271515496464 0.52092027830467 0.72008840157207 0.43795666416155 0.27956488103457 -0.52934734548736 0.40714823325749 -0.76860658912943 -0.46180875471019 -0.69745876537782 -0.63627884306561 0.35003544528664 0.10175584711261 0.35404276067786 2.0747591220857 0.95542120166347 0.72303134762856 0.19774552089132 1.1849310395188 0.34042794208854 0.67515682556354 0.25143369970081 0.47938914842258 1.6267120799605 -0.010591832570891 0.90889972752212 0.78613507838487 1.4818827403262 0.90276182138533 -0.71270816682648 0.65152635994714 -1.4177065808022 1.0535810354777 1.2513839437289 -0.46347209690957 175.97328243034 11.181640219422 135.55938777937 24.60897436318 98.318428018712 11.491436513759 48.020258184982 32.032422898915 179.79056391215 -31.879681505692 159.51543526679 -30.93526040634 69.245724377444 -25.743275928789 44.199995500192 -39.044788880519  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00320234 0.029860505666957 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00581072 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00297223 -1e+20 
0.10173688 0.3158202 1.31977  	 3167 	 0.30388269982447 0.43679992290957 0.52784779078972 0.720360078614 0.43293898601519 0.27692431061068 -0.53081069075529 0.41081768220868 -0.76677304503606 -0.46549233365433 -0.69701994328848 -0.63810098570849 0.3484115189531 0.10455841210304 0.34809923527865 2.1009155823268 0.97429314255406 0.73892647588296 0.19825473860553 1.2202823429514 0.33696008116537 0.67106440043654 0.25176421218314 0.47680177653505 1.6322910358128 0.0012030612352065 0.91082807485097 0.86463458324582 1.504502536456 0.90560335190296 -0.71547878867464 0.66598148633178 -1.3899689086055 1.0620252254126 1.2677813920993 -0.45785180959578 175.37103198433 10.998985807764 136.09860768622 24.817533671395 97.722582528415 11.836319383074 48.012550260477 32.682927269892 180.12364409565 -32.220254829609 159.99127624475 -31.047248959437 68.591045102434 -25.326948835051 43.946995649877 -39.412286385397  	 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00299599 0.03204010462075 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.0249676 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 -1e+20 0.00298955 -1e+20 
