b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
3	8	1	1	-6.155104e-02	-2.000786e-02	-8.074128e-02	3.858153e-06	1.254111e-06	1.505829e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.388081e+04	3.447964e+00	-3.788901e+00	7.140670e+00	1.147747e-01	5.278296e-04	-3.942448e-04	1.332141e-03	
3	8	1	2	-7.241549e-02	-2.217412e-02	-7.777312e-02	1.328742e-05	4.068122e-06	5.158330e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.270209e+04	2.925934e+00	-3.266164e+00	7.860637e+00	4.322896e-01	1.698592e-03	-1.280215e-03	5.080997e-03	
3	8	1	3	-8.882010e-02	-2.528288e-02	-7.329739e-02	1.682790e-05	4.789605e-06	6.494468e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.957450e+04	2.685825e+00	-2.805425e+00	8.075417e+00	5.599565e-01	2.004452e-03	-1.427558e-03	6.454091e-03	
3	8	1	4	-1.054575e-01	-2.824089e-02	-6.876480e-02	2.005647e-05	5.370870e-06	7.707038e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.636082e+04	2.935187e+00	-2.658415e+00	8.510058e+00	7.040356e-01	2.592878e-03	-1.730347e-03	8.014421e-03	
3	8	1	5	-1.221010e-01	-3.109509e-02	-6.423220e-02	2.324494e-05	5.919704e-06	8.903591e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.244123e+04	3.366411e+00	-2.609167e+00	9.064242e+00	8.745941e-01	3.470264e-03	-2.146896e-03	9.943590e-03	
3	8	1	6	-1.387376e-01	-3.391584e-02	-5.969961e-02	2.640059e-05	6.453959e-06	1.008810e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	1.673635e+04	3.651524e+00	-2.463457e+00	9.730484e+00	1.068179e+00	4.345311e-03	-2.520536e-03	1.209635e-02	
3	8	1	7	-1.551554e-01	-3.669925e-02	-5.522388e-02	2.873249e-05	6.796262e-06	1.095943e-04	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	5.530802e+03	4.125794e+00	-2.262499e+00	1.064313e+01	1.278985e+00	5.439866e-03	-2.849373e-03	1.424335e-02	
3	8	1	8	-1.660380e-01	-3.855165e-02	-5.225572e-02	1.054050e-05	2.447352e-06	4.016573e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	-8.798094e+03	4.808823e+00	-1.895988e+00	1.174746e+01	5.229007e-01	2.422395e-03	-1.008776e-03	5.800440e-03	
3	8	2	1	-6.229509e-02	-1.756318e-02	-8.074128e-02	3.561189e-06	1.004005e-06	1.373429e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.371879e+04	3.335339e+00	-4.026553e+00	7.158942e+00	1.048951e-01	4.711673e-04	-3.903928e-04	1.216218e-03	
3	8	2	2	-7.324043e-02	-1.928577e-02	-7.777312e-02	1.223912e-05	3.222434e-06	4.698239e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	3.265890e+04	2.876886e+00	-3.415256e+00	8.059733e+00	4.039553e-01	1.561660e-03	-1.275446e-03	4.788705e-03	
