b	dir	mp	f1	f2	f3
0	MinI	2.140160e+01	1.080657e-01	-7.217674e-02	2.374371e-01
0	PluI	2.035842e+01	1.233916e-01	-3.720161e-02	2.237291e-01
0	MinJ	-4.187683e+01	-1.565875e-01	-8.224785e-02	-5.973297e-01
0	PluJ	1.233445e-01	3.904515e-02	1.918003e-01	6.750257e-02
0	MinK	-4.656430e-03	9.990480e-02	-6.720728e-04	-5.759209e-02
0	PluK	1.479357e-03	-2.138722e-01	5.060733e-04	1.261536e-01
1	MinI	-4.012240e+01	-2.442660e-01	1.020723e-01	-5.071930e-01
1	PluI	3.465588e+01	1.635358e-01	-1.363680e-01	3.842765e-01
1	MinJ	1.729284e+00	-9.326597e-02	-3.980619e-01	-5.156767e-02
1	PluJ	3.758845e+00	2.558769e-01	4.065459e-01	1.235647e-01
1	MinK	-1.300433e-02	7.229236e-02	-2.243150e-02	-4.379623e-02
1	PluK	-6.643450e-03	-1.542288e-01	4.825621e-02	9.462919e-02
2	MinI	-7.679259e+01	-1.599782e-07	3.000405e-08	-1.757291e+00
2	PluI	7.652046e+01	4.987023e-01	-1.024499e-01	1.032518e+00
2	MinJ	7.693956e+00	3.184158e-01	-1.552320e+00	7.276991e-02
2	PluJ	-7.715706e+00	5.715934e-01	1.479156e+00	-7.313746e-02
2	MinK	8.027938e-02	6.276502e-01	-1.088414e-01	-5.840689e-02
2	PluK	2.140590e-01	-2.016560e+00	2.845092e-01	7.829621e-01
3	MinI	-7.641693e+01	-3.965218e-01	2.467244e-01	-8.480953e-01
3	PluI	7.644624e+01	2.363690e-01	-2.597648e-01	8.732240e-01
3	MinJ	1.161588e+01	6.554891e-02	-1.624039e-01	8.918180e-02
3	PluJ	-1.161367e+01	3.251971e-02	1.717068e-01	-8.916784e-02
3	MinK	-2.365333e-02	7.357713e-02	3.661327e-03	-3.246150e-02
3	PluK	-7.899744e-03	-1.153831e-02	1.413075e-04	7.218638e-03
4	MinI	7.987986e+00	2.265425e-02	1.892172e-02	7.745308e-02
4	PluI	8.451244e+00	6.107065e-03	1.155051e-02	5.323687e-02
4	MinJ	-1.622633e+01	5.107091e-02	-6.805643e-01	-1.532359e+00
4	PluJ	-2.287610e-01	1.972009e-02	6.526971e-01	1.399815e+00
4	MinK	5.925511e-04	6.988932e-03	-3.157881e-04	9.634778e-04
4	PluK	8.126641e-03	-5.322218e-02	-8.832323e-05	8.782158e-04
5	MinI	-1.948903e+02	-1.186934e-01	-6.940169e-01	-2.309707e+00
5	PluI	1.949904e+02	4.171433e-02	3.991321e-02	8.756466e-01
5	MinJ	-1.009745e+00	3.669060e-02	6.455845e-02	1.111313e-01
5	PluJ	8.471709e-01	6.045923e-01	8.219146e-02	1.298462e+00
5	MinK	-1.064391e-02	2.052441e-02	-9.580343e-02	1.360656e-02
5	PluK	6.054783e-02	6.082978e-02	3.278773e-01	1.094539e-02
6	MinI	-2.111068e+02	5.017930e-01	-7.264020e-01	-2.396999e+00
6	PluI	2.112792e+02	1.131234e-01	7.054304e-01	2.432472e+00
6	MinJ	-1.314061e+02	2.963076e-01	-1.418649e-01	-1.209137e+00
6	PluJ	1.314060e+02	1.418664e-01	2.963063e-01	1.209136e+00
6	MinK	1.039805e-04	-1.025203e-01	2.066751e-02	-1.508377e-02
6	PluK	-1.710619e-01	-8.047762e-02	-4.709485e-02	-2.064010e-02
7	MinI	-2.114876e+02	-8.009448e-02	-8.485407e-02	-9.988921e-01
7	PluI	2.116616e+02	1.421076e-01	-4.533110e-02	8.605749e-01
7	MinJ	-3.379010e+02	-5.035361e-01	-6.680022e-01	-2.939732e+00
7	PluJ	3.379010e+02	6.680015e-01	-5.035368e-01	2.939732e+00
7	MinK	1.583645e-03	2.547280e-02	-1.837170e-01	4.307406e-02
7	PluK	-1.913056e-01	-1.984693e-01	1.124573e+00	9.581487e-02
