b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
0	1	1	8	-1.845072e-01	1.293961e-02	-7.474542e-02	-3.574500e-05	2.505494e-06	2.067721e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	1.906652e+04	4.808959e+00	-3.469429e+00	8.733714e+00	-5.819453e-05	-6.617017e-04	4.656187e-05	3.820975e-04	
0	1	2	8	-1.847658e-01	3.048628e-03	-7.441240e-02	-3.129855e-05	5.145041e-07	1.809043e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	1.962198e+04	4.882736e+00	-3.511419e+00	8.547566e+00	-1.639112e-05	-6.005583e-04	9.928468e-06	3.469330e-04	
0	1	3	8	-1.846608e-01	-4.602621e-03	-7.423905e-02	-2.399708e-05	-6.041133e-07	1.387964e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.083986e+04	4.893005e+00	-3.666564e+00	8.300128e+00	7.967619e-06	-4.955641e-04	-1.250572e-05	2.867178e-04	
0	1	4	8	-1.845985e-01	-9.241539e-03	-7.439930e-02	-1.363816e-05	-6.894447e-07	7.881904e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.126234e+04	4.697337e+00	-3.763217e+00	7.798688e+00	1.722955e-06	-2.901906e-04	-1.467678e-05	1.677281e-04	
0	2	1	8	-1.865034e-01	1.451995e-02	-7.839972e-02	-4.169021e-05	3.244443e-06	2.412410e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.126239e+04	4.666131e+00	-3.460832e+00	8.529250e+00	-8.141689e-05	-8.588515e-04	6.708805e-05	4.960588e-04	
0	2	2	8	-1.869392e-01	4.754095e-03	-7.823963e-02	-3.644220e-05	9.240063e-07	2.103341e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.141771e+04	4.743051e+00	-3.545273e+00	8.373492e+00	-2.635434e-05	-7.593249e-04	1.934286e-05	4.379673e-04	
0	2	3	8	-1.870725e-01	-2.640439e-03	-7.835028e-02	-2.674958e-05	-3.813248e-07	1.542829e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.211948e+04	4.761364e+00	-3.711780e+00	8.163517e+00	5.410070e-06	-5.824663e-04	-8.323666e-06	3.360067e-04	
0	2	4	8	-1.872394e-01	-7.033231e-03	-7.880548e-02	-1.425404e-05	-5.368410e-07	8.222601e-06	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.198103e+04	4.637357e+00	-3.791901e+00	7.791382e+00	1.347005e-06	-3.103300e-04	-1.169278e-05	1.790314e-04	
0	3	1	8	-1.887397e-01	1.655152e-02	-8.254502e-02	-4.597025e-05	4.029974e-06	2.673708e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.337585e+04	4.557002e+00	-3.444466e+00	8.354228e+00	-9.850998e-05	-1.045204e-03	9.192500e-05	6.068226e-04	
0	3	2	8	-1.893673e-01	6.894293e-03	-8.255225e-02	-3.925141e-05	1.426486e-06	2.275424e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.314875e+04	4.642450e+00	-3.551038e+00	8.230913e+00	-3.641855e-05	-8.851067e-04	3.228931e-05	5.127027e-04	
0	3	3	8	-1.896844e-01	-3.755633e-04	-8.283753e-02	-2.788856e-05	-5.877857e-08	1.615400e-05	0.000000e+00	0.000000e+00	0.000000e+00	9.982000e+02	2.359201e+04	4.676646e+00	-3.717892e+00	8.060316e+00	1.009908e-06	-6.472952e-04	-1.368012e-06	3.749463e-04	
