b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
4	1	4	1	3.512653e-02	-2.790882e-02	5.890053e-02	6.864164e-06	9.883328e-06	8.227953e-06	6.110944e+00	7.691341e+00	0.000000e+00	9.982000e+02	-1.122985e+04	4.241540e-01	3.026759e+00	1.034725e+01	-4.060269e-06	-7.722424e-05	-1.112007e-04	-9.260737e-05	
4	1	4	2	4.030078e-02	-3.147860e-02	5.858710e-02	2.477456e-05	3.179047e-05	4.076914e-05	6.892586e+00	8.824299e+00	0.000000e+00	9.982000e+02	-3.978715e+03	-1.785259e-01	2.495386e+00	9.232050e+00	1.909039e-05	-9.875233e-05	-1.266659e-04	-1.623244e-04	
4	1	4	3	4.938851e-02	-3.841210e-02	5.808972e-02	3.196811e-05	3.509650e-05	6.832717e-05	8.410751e+00	1.081416e+01	0.000000e+00	9.982000e+02	6.356722e+03	2.037181e-01	2.136269e+00	8.297239e+00	1.124048e-03	2.090271e-04	2.316365e-04	4.557193e-04	
4	1	4	4	5.934758e-02	-4.664435e-02	5.761080e-02	3.146992e-05	3.314730e-05	7.915812e-05	1.021329e+01	1.299480e+01	0.000000e+00	9.982000e+02	1.158177e+04	1.012724e+00	1.676936e+00	8.397092e+00	-1.590261e-04	3.625979e-04	3.818347e-04	9.111408e-04	
4	1	4	5	6.916609e-02	-5.491791e-02	5.746617e-02	2.744921e-05	3.421833e-05	8.974073e-05	1.202488e+01	1.514468e+01	0.000000e+00	9.982000e+02	1.697070e+04	2.252504e+00	1.267760e+00	8.280399e+00	-1.664532e-03	4.549094e-04	5.697225e-04	1.485825e-03	
4	1	4	6	7.894927e-02	-6.313325e-02	5.748796e-02	2.955854e-05	3.401682e-05	9.975560e-05	1.382372e+01	1.728681e+01	0.000000e+00	9.982000e+02	1.658766e+04	3.898131e+00	1.484616e+00	8.329622e+00	-3.091526e-03	4.790904e-04	5.607108e-04	1.631991e-03	
4	1	4	7	8.887839e-02	-7.108648e-02	5.769915e-02	2.491469e-05	4.001101e-05	1.092237e-04	1.556517e+01	1.946090e+01	0.000000e+00	9.982000e+02	1.582436e+04	5.188162e+00	2.193448e+00	8.692507e+00	-2.271485e-03	3.818837e-04	6.272440e-04	1.706222e-03	
4	1	4	8	9.921662e-02	-7.844149e-02	5.827705e-02	2.135324e-05	4.308753e-05	1.194981e-04	1.717563e+01	2.172457e+01	0.000000e+00	9.982000e+02	1.471225e+04	5.571295e+00	2.577622e+00	8.977425e+00	-1.566493e-03	3.059733e-04	6.310038e-04	1.747192e-03	
4	1	4	9	1.102903e-01	-8.479632e-02	5.919437e-02	1.174124e-05	5.094071e-05	1.288785e-04	1.856709e+01	2.414928e+01	0.000000e+00	9.982000e+02	1.081465e+04	5.364763e+00	2.795901e+00	9.642938e+00	-4.328579e-04	1.248799e-04	5.506864e-04	1.392110e-03	
4	1	4	10	1.226007e-01	-8.942445e-02	6.065752e-02	-1.976445e-06	5.935941e-05	1.373055e-04	1.958047e+01	2.684477e+01	0.000000e+00	9.982000e+02	8.095646e+03	4.980824e+00	3.122930e+00	1.004519e+01	-7.029214e-04	-1.953696e-05	4.792182e-04	1.106512e-03	
4	1	4	11	1.349485e-01	-9.127740e-02	6.292340e-02	-2.533249e-05	5.690187e-05	1.079860e-04	1.998619e+01	2.954845e+01	0.000000e+00	9.982000e+02	9.868738e+03	4.728264e+00	3.711738e+00	1.003497e+01	-2.581727e-04	-2.516736e-04	5.616018e-04	1.065012e-03	
4	1	4	12	1.424462e-01	-9.115333e-02	6.484524e-02	-1.084857e-05	1.649922e-05	2.891334e-05	1.995902e+01	3.119016e+01	0.000000e+00	9.982000e+02	1.709862e+04	4.589292e+00	5.165415e+00	9.083984e+00	6.626720e-04	-1.827787e-04	2.860592e-04	5.013133e-04	
4	2	4	1	3.747516e-02	-2.575432e-02	5.423216e-02	4.430949e-06	1.195363e-05	7.609707e-06	5.639192e+00	8.205599e+00	0.000000e+00	9.982000e+02	-4.599884e+03	1.280783e+00	4.036017e+00	9.087538e+00	-8.358919e-05	-2.052556e-05	-5.542163e-05	-3.582839e-05	
4	2	4	2	4.308795e-02	-2.848801e-02	5.436942e-02	1.896565e-05	3.850738e-05	3.832196e-05	6.237764e+00	9.434580e+00	0.000000e+00	9.982000e+02	3.589273e+03	9.703419e-01	3.693257e+00	8.375966e+00	-1.650623e-04	6.803660e-05	1.378548e-04	1.364082e-04	
4	2	4	3	5.273224e-02	-3.443675e-02	5.427097e-02	3.090178e-05	4.060070e-05	6.576164e-05	7.540304e+00	1.154630e+01	0.000000e+00	9.982000e+02	1.480233e+04	1.405115e+00	3.508733e+00	7.845292e+00	-6.216670e-04	4.596293e-04	6.028581e-04	9.751380e-04	
4	2	4	4	6.317177e-02	-4.192642e-02	5.393096e-02	3.035832e-05	3.839084e-05	7.708730e-05	9.180251e+00	1.383215e+01	0.000000e+00	9.982000e+02	1.928809e+04	2.322322e+00	3.307551e+00	7.942209e+00	-1.391574e-03	5.839686e-04	7.379687e-04	1.480071e-03	
4	2	4	5	7.348409e-02	-4.946315e-02	5.390415e-02	2.632896e-05	3.900135e-05	8.787852e-05	1.083050e+01	1.609015e+01	0.000000e+00	9.982000e+02	2.469238e+04	3.624544e+00	3.220988e+00	7.870411e+00	-2.180041e-03	6.433584e-04	9.577046e-04	2.156730e-03	
4	2	4	6	8.373005e-02	-5.700569e-02	5.385140e-02	3.060751e-05	3.661272e-05	9.842038e-05	1.248202e+01	1.833361e+01	0.000000e+00	9.982000e+02	2.396094e+04	4.910372e+00	3.532680e+00	7.860687e+00	-2.232482e-03	7.237043e-04	8.709313e-04	2.344983e-03	
4	2	4	7	9.410334e-02	-6.427369e-02	5.394836e-02	2.270413e-05	4.293239e-05	1.080756e-04	1.407343e+01	2.060496e+01	0.000000e+00	9.982000e+02	2.120365e+04	5.614867e+00	4.128310e+00	8.322199e+00	-1.678446e-03	4.728305e-04	9.050104e-04	2.281768e-03	
4	2	4	8	1.048519e-01	-7.088117e-02	5.452271e-02	1.911806e-05	4.482303e-05	1.185470e-04	1.552021e+01	2.295848e+01	0.000000e+00	9.982000e+02	1.912366e+04	5.718369e+00	4.313589e+00	8.630444e+00	-1.627249e-03	3.569402e-04	8.516842e-04	2.257098e-03	
4	2	4	9	1.162152e-01	-7.650457e-02	5.542199e-02	8.664322e-06	5.123833e-05	1.280201e-04	1.675152e+01	2.544659e+01	0.000000e+00	9.982000e+02	1.508631e+04	5.301818e+00	4.172203e+00	9.289693e+00	-5.967641e-04	1.277785e-04	7.718954e-04	1.929283e-03	
4	2	4	10	1.286165e-01	-8.042996e-02	5.695799e-02	-6.656123e-06	5.882715e-05	1.363570e-04	1.761102e+01	2.816201e+01	0.000000e+00	9.982000e+02	1.155527e+04	4.749616e+00	4.183194e+00	9.717122e+00	-6.145505e-04	-7.997627e-05	6.784122e-04	1.572504e-03	
4	2	4	11	1.407161e-01	-8.188735e-02	5.948197e-02	-3.022187e-05	5.589588e-05	1.070761e-04	1.793014e+01	3.081135e+01	0.000000e+00	9.982000e+02	1.590556e+04	4.750102e+00	4.919704e+00	9.795938e+00	-2.387943e-04	-4.826991e-04	8.894813e-04	1.703834e-03	
