	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
22	1.1735e-01	7.0774e-02	3.9244e-02	6.9366e-02	5.0701e-02	3.1761e-02	2.2513e-02	1.6301e-02	1.4283e-02	1.1286e-01	6.3361e-02	3.8640e-02	4.3329e+00	2.9584e+00	1.5681e+00	4.6102e-01	3.0977e-01	1.8861e-01	3.6324e-01	2.2989e-01	1.4354e-01	6.3874e-01	4.1750e-01	2.9366e-01
24	1.0040e-01	5.8902e-02	3.1670e-02	5.9583e-02	4.2796e-02	2.7099e-02	2.3983e-02	1.8045e-02	1.6564e-02	9.2680e-02	4.7262e-02	2.4955e-02	4.1963e+00	2.7806e+00	1.4892e+00	4.3621e-01	2.9588e-01	1.7877e-01	3.5706e-01	2.1204e-01	1.2645e-01	5.7659e-01	3.7494e-01	2.6892e-01
26	7.6743e-02	4.1089e-02	2.2261e-02	4.5490e-02	3.2330e-02	2.0637e-02	2.3294e-02	1.7593e-02	1.6115e-02	8.2872e-02	4.2615e-02	2.8492e-02	3.9994e+00	2.5333e+00	1.3674e+00	4.0559e-01	2.7153e-01	1.5945e-01	3.2789e-01	1.8286e-01	1.0637e-01	5.3590e-01	3.5397e-01	2.4417e-01
28	6.2755e-02	3.2991e-02	2.3376e-02	3.7753e-02	2.6857e-02	2.0008e-02	2.0712e-02	1.5017e-02	1.3313e-02	8.4054e-02	5.0698e-02	3.9414e-02	3.7962e+00	2.2506e+00	1.1595e+00	3.7774e-01	2.4771e-01	1.4689e-01	2.7777e-01	1.4593e-01	8.3978e-02	5.0844e-01	3.4014e-01	2.1941e-01
30	6.5348e-02	4.1041e-02	3.0274e-02	3.7835e-02	2.8963e-02	2.6180e-02	1.7219e-02	1.1285e-02	9.0705e-03	9.0029e-02	5.8966e-02	4.5183e-02	3.4976e+00	1.9642e+00	9.6953e-01	3.5597e-01	2.3221e-01	1.3873e-01	2.3110e-01	1.1352e-01	6.6119e-02	4.9350e-01	3.1321e-01	1.9044e-01
32	7.8401e-02	4.9843e-02	3.2580e-02	4.3782e-02	3.4176e-02	2.8783e-02	1.4148e-02	8.3527e-03	5.3651e-03	9.0548e-02	5.9594e-02	4.5230e-02	3.0998e+00	1.6655e+00	7.1371e-01	3.3633e-01	2.1914e-01	1.2967e-01	1.9680e-01	9.6372e-02	5.6181e-02	4.6766e-01	2.8811e-01	1.7083e-01
34	8.5300e-02	5.3317e-02	2.9901e-02	4.7440e-02	3.5232e-02	2.6601e-02	1.2978e-02	8.0199e-03	6.1941e-03	8.2701e-02	5.3905e-02	3.9903e-02	2.6253e+00	1.3655e+00	6.2130e-01	3.1695e-01	2.0539e-01	1.1799e-01	1.7249e-01	9.0685e-02	5.4863e-02	4.4026e-01	2.6507e-01	1.5992e-01
36	8.2388e-02	4.9461e-02	2.6912e-02	4.5899e-02	3.3076e-02	2.2556e-02	1.4531e-02	1.0630e-02	8.8066e-03	7.0718e-02	4.4671e-02	3.1346e-02	2.2078e+00	1.1958e+00	5.5643e-01	2.9888e-01	1.9505e-01	1.0969e-01	1.5599e-01	8.7951e-02	5.6174e-02	4.1356e-01	2.5660e-01	1.5919e-01
38	7.2246e-02	4.2436e-02	2.4653e-02	3.9806e-02	2.8623e-02	1.8387e-02	1.6293e-02	1.2370e-02	1.0449e-02	5.8363e-02	3.5637e-02	2.3677e-02	1.9340e+00	1.0883e+00	5.5522e-01	2.8454e-01	1.8492e-01	1.0412e-01	1.4594e-01	8.3281e-02	5.4015e-02	3.9683e-01	2.5295e-01	1.5874e-01
40	5.9399e-02	3.4387e-02	2.1977e-02	3.2801e-02	2.3347e-02	1.4384e-02	1.6137e-02	1.2429e-02	1.0405e-02	5.0404e-02	2.9891e-02	2.0048e-02	1.7614e+00	1.0739e+00	6.1656e-01	2.7493e-01	1.7587e-01	1.0069e-01	1.3779e-01	7.8747e-02	5.0262e-02	3.8645e-01	2.5322e-01	1.5439e-01
42	4.7708e-02	2.6544e-02	1.9071e-02	2.7752e-02	1.8930e-02	1.1963e-02	1.4550e-02	1.1091e-02	9.2523e-03	4.9395e-02	2.9779e-02	2.1606e-02	1.7035e+00	1.1316e+00	6.0357e-01	2.6429e-01	1.6627e-01	9.5267e-02	1.3070e-01	7.3065e-02	4.5047e-02	3.7794e-01	2.4784e-01	1.4611e-01
44	3.9514e-02	2.1652e-02	1.6935e-02	2.3948e-02	1.5667e-02	1.0244e-02	1.2217e-02	9.1212e-03	7.4883e-03	5.1181e-02	3.2257e-02	2.5056e-02	1.7132e+00	1.1270e+00	5.6331e-01	2.5411e-01	1.5791e-01	8.4464e-02	1.2332e-01	6.7681e-02	4.1042e-02	3.6239e-01	2.2967e-01	1.2949e-01
46	3.4526e-02	2.0482e-02	1.5668e-02	2.0806e-02	1.3774e-02	1.0434e-02	9.9877e-03	7.2118e-03	5.4427e-03	5.1706e-02	3.3936e-02	2.6845e-02	1.6964e+00	1.0700e+00	5.2231e-01	2.4348e-01	1.4811e-01	7.5912e-02	1.1743e-01	6.2959e-02	3.9163e-02	3.4591e-01	2.0536e-01	1.0624e-01
48	3.2713e-02	1.9796e-02	1.4505e-02	1.8604e-02	1.2207e-02	9.6437e-03	8.2658e-03	5.6095e-03	3.8913e-03	5.0134e-02	3.3940e-02	2.6781e-02	1.6641e+00	1.0042e+00	5.0085e-01	2.3119e-01	1.4194e-01	7.4354e-02	1.1356e-01	6.0440e-02	3.9496e-02	3.2438e-01	1.8502e-01	8.9089e-02
50	3.0809e-02	1.8229e-02	1.2534e-02	1.6569e-02	1.1198e-02	9.0537e-03	7.1136e-03	4.4696e-03	2.7881e-03	4.7268e-02	3.2023e-02	2.4239e-02	1.5698e+00	9.3120e-01	4.4500e-01	2.2158e-01	1.3624e-01	7.5996e-02	1.1070e-01	5.9916e-02	4.0629e-02	3.0935e-01	1.7336e-01	8.2475e-02
52	2.9322e-02	1.7244e-02	1.0997e-02	1.5949e-02	1.1019e-02	9.0281e-03	6.4555e-03	3.7567e-03	2.2832e-03	4.4170e-02	2.9077e-02	2.0839e-02	1.4300e+00	8.4299e-01	3.8858e-01	2.1227e-01	1.2839e-01	7.3573e-02	1.0896e-01	6.0810e-02	4.3222e-02	2.9939e-01	1.6931e-01	8.2189e-02
54	2.9047e-02	1.6912e-02	1.0053e-02	1.6230e-02	1.1456e-02	9.1813e-03	5.9309e-03	3.3427e-03	2.3035e-03	4.1282e-02	2.6353e-02	1.8973e-02	1.2745e+00	7.4015e-01	3.6051e-01	1.9845e-01	1.2057e-01	6.7567e-02	1.0583e-01	6.1836e-02	4.5328e-02	2.8799e-01	1.6602e-01	7.8985e-02
56	2.9506e-02	1.7624e-02	1.0526e-02	1.6799e-02	1.2139e-02	9.5392e-03	5.5915e-03	3.3140e-03	2.7127e-03	3.9522e-02	2.4386e-02	1.7083e-02	1.1424e+00	6.7967e-01	3.5168e-01	1.8719e-01	1.1481e-01	6.1538e-02	1.0251e-01	6.2051e-02	4.4281e-02	2.7337e-01	1.5798e-01	7.4290e-02
58	3.0224e-02	1.8700e-02	1.1172e-02	1.7546e-02	1.2582e-02	9.7090e-03	5.4768e-03	3.7055e-03	3.4016e-03	3.8245e-02	2.3171e-02	1.6113e-02	1.0771e+00	6.8202e-01	3.6978e-01	1.7876e-01	1.0957e-01	5.8179e-02	9.9294e-02	6.1087e-02	4.2788e-02	2.5453e-01	1.4498e-01	6.7219e-02
60	2.9721e-02	1.8581e-02	1.1292e-02	1.7465e-02	1.2438e-02	9.4045e-03	5.7165e-03	4.2526e-03	4.0376e-03	3.5819e-02	2.1167e-02	1.3902e-02	1.0671e+00	7.0789e-01	3.6246e-01	1.7025e-01	1.0213e-01	5.3712e-02	9.5990e-02	5.7483e-02	4.0066e-02	2.3626e-01	1.3213e-01	5.8948e-02
62	2.7621e-02	1.6826e-02	1.0395e-02	1.6280e-02	1.1534e-02	8.0883e-03	6.0620e-03	4.7599e-03	4.4361e-03	3.2889e-02	1.8658e-02	1.1530e-02	1.0594e+00	6.8306e-01	3.3921e-01	1.6156e-01	9.7446e-02	5.1072e-02	9.0196e-02	5.2524e-02	3.5416e-02	2.2280e-01	1.2219e-01	5.3303e-02
64	2.3943e-02	1.3740e-02	8.8300e-03	1.3728e-02	9.6863e-03	6.2753e-03	6.1901e-03	4.9005e-03	4.5767e-03	3.1181e-02	1.7202e-02	1.0896e-02	1.0204e+00	6.2343e-01	3.0902e-01	1.5091e-01	9.1031e-02	4.9053e-02	8.2083e-02	4.5550e-02	2.9486e-02	2.1149e-01	1.1028e-01	4.7285e-02
66	1.9516e-02	1.0549e-02	7.0840e-03	1.1082e-02	7.7502e-03	4.7962e-03	5.9355e-03	4.5834e-03	4.2893e-03	3.0359e-02	1.6863e-02	1.0898e-02	9.4584e-01	5.4031e-01	2.6473e-01	1.4469e-01	8.5332e-02	4.6542e-02	7.2550e-02	3.7738e-02	2.4089e-02	1.9648e-01	9.7005e-02	4.2891e-02
68	1.6611e-02	9.2184e-03	6.6497e-03	9.8621e-03	6.7214e-03	4.6635e-03	5.2893e-03	3.8803e-03	3.5466e-03	2.9519e-02	1.6786e-02	1.1228e-02	8.5656e-01	4.6953e-01	2.2183e-01	1.3894e-01	8.1471e-02	4.4937e-02	6.4568e-02	3.2195e-02	2.0906e-02	1.8049e-01	8.6959e-02	4.1385e-02
70	1.6097e-02	9.3499e-03	6.8118e-03	9.4184e-03	6.2892e-03	4.9186e-03	4.4480e-03	2.9916e-03	2.6121e-03	2.8991e-02	1.6558e-02	1.1351e-02	7.6443e-01	4.2422e-01	1.9961e-01	1.3212e-01	7.9431e-02	4.2123e-02	6.0210e-02	3.1167e-02	2.2949e-02	1.6481e-01	8.2613e-02	4.1302e-02
72	1.6054e-02	9.2921e-03	6.0666e-03	8.7596e-03	5.7005e-03	4.5867e-03	3.6633e-03	2.2195e-03	1.7339e-03	2.7926e-02	1.5766e-02	1.0825e-02	6.8104e-01	4.0748e-01	2.1679e-01	1.2537e-01	7.6549e-02	4.0797e-02	5.9248e-02	3.4291e-02	2.6663e-02	1.5317e-01	7.9863e-02	3.9591e-02
74	1.4890e-02	8.3866e-03	4.6977e-03	7.7463e-03	4.9264e-03	3.7148e-03	3.0815e-03	1.7531e-03	1.1773e-03	2.6366e-02	1.4323e-02	9.6158e-03	6.4141e-01	4.2486e-01	2.3734e-01	1.2038e-01	7.4620e-02	4.0997e-02	5.9489e-02	3.6823e-02	2.8898e-02	1.4684e-01	7.5252e-02	3.6277e-02
76	1.2812e-02	6.7294e-03	3.3596e-03	6.7578e-03	4.1203e-03	2.8047e-03	2.7643e-03	1.5236e-03	9.6025e-04	2.3690e-02	1.2361e-02	7.6707e-03	6.4578e-01	4.4352e-01	2.4790e-01	1.1508e-01	7.1312e-02	4.0021e-02	5.9737e-02	3.7568e-02	2.9559e-02	1.3764e-01	6.9249e-02	3.3999e-02
78	1.0758e-02	5.0695e-03	2.3934e-03	5.9701e-03	3.4723e-03	2.2139e-03	2.5973e-03	1.3610e-03	7.9407e-04	2.0853e-02	1.0334e-02	5.7168e-03	6.5458e-01	4.4158e-01	2.3547e-01	1.1003e-01	6.7095e-02	3.8436e-02	5.8909e-02	3.6702e-02	2.8263e-02	1.2386e-01	6.3996e-02	3.2765e-02
80	9.4876e-03	4.2449e-03	2.0869e-03	5.4973e-03	2.9924e-03	1.7936e-03	2.3849e-03	1.2343e-03	6.9085e-04	1.8741e-02	9.0247e-03	4.7930e-03	6.5150e-01	4.2088e-01	2.1656e-01	1.0287e-01	6.3335e-02	3.5085e-02	5.6611e-02	3.4097e-02	2.5042e-02	1.1369e-01	5.9409e-02	3.0071e-02
82	8.9563e-03	4.4926e-03	2.4020e-03	5.1663e-03	2.8238e-03	1.7544e-03	2.2120e-03	1.1558e-03	6.8440e-04	1.7857e-02	9.1231e-03	5.4088e-03	6.1717e-01	3.7996e-01	1.9226e-01	9.7456e-02	5.8921e-02	3.2036e-02	5.2666e-02	3.0739e-02	2.1491e-02	1.0977e-01	5.5814e-02	2.6948e-02
84	9.0781e-03	4.9596e-03	2.9021e-03	5.1612e-03	3.1355e-03	2.2976e-03	2.1125e-03	1.1125e-03	7.3429e-04	1.8263e-02	9.9202e-03	6.4617e-03	5.7607e-01	3.2986e-01	1.6257e-01	9.2091e-02	5.4482e-02	2.9370e-02	4.8174e-02	2.6895e-02	1.7510e-02	1.0349e-01	5.0641e-02	2.3907e-02
86	9.6802e-03	5.5267e-03	3.5179e-03	5.6953e-03	3.7885e-03	2.8785e-03	2.0449e-03	1.1024e-03	8.1147e-04	1.8778e-02	1.0431e-02	7.1456e-03	5.2321e-01	2.8535e-01	1.3034e-01	8.7413e-02	5.1112e-02	2.7485e-02	4.4078e-02	2.2763e-02	1.3755e-02	9.5433e-02	4.6570e-02	2.3446e-02
88	1.0400e-02	6.1129e-03	3.9435e-03	6.4403e-03	4.5324e-03	3.4036e-03	2.0915e-03	1.2312e-03	1.0266e-03	1.8774e-02	1.0300e-02	7.0467e-03	4.7899e-01	2.5910e-01	1.1121e-01	8.2327e-02	4.8083e-02	2.5786e-02	4.1108e-02	2.0138e-02	1.2989e-02	9.0402e-02	4.6468e-02	2.5540e-02
90	1.0807e-02	6.3730e-03	4.1712e-03	6.9246e-03	5.0287e-03	3.6528e-03	2.3241e-03	1.5087e-03	1.3672e-03	1.7958e-02	9.5903e-03	6.3727e-03	4.3183e-01	2.3618e-01	1.0252e-01	7.7416e-02	4.5544e-02	2.4054e-02	3.8868e-02	1.9537e-02	1.2974e-02	9.0617e-02	4.8486e-02	2.6803e-02
92	1.0582e-02	6.2142e-03	4.0990e-03	7.0160e-03	5.0635e-03	3.5881e-03	2.6642e-03	1.8584e-03	1.6979e-03	1.6633e-02	8.6888e-03	5.5524e-03	3.9267e-01	2.1669e-01	1.0034e-01	7.3155e-02	4.3297e-02	2.3120e-02	3.6588e-02	1.9203e-02	1.2949e-02	9.2199e-02	4.8296e-02	2.6002e-02
94	9.7272e-03	5.7035e-03	3.8238e-03	6.6260e-03	4.7726e-03	3.2932e-03	2.9489e-03	2.1234e-03	1.8909e-03	1.5180e-02	7.8777e-03	4.8624e-03	3.5180e-01	2.0613e-01	9.8470e-02	7.0361e-02	4.1928e-02	2.2754e-02	3.4294e-02	1.8896e-02	1.3337e-02	8.8356e-02	4.5016e-02	2.2837e-02
96	8.5589e-03	5.0050e-03	3.4558e-03	5.8381e-03	4.1622e-03	2.9493e-03	3.0437e-03	2.1942e-03	1.8975e-03	1.3984e-02	7.2292e-03	4.5040e-03	3.3161e-01	2.0084e-01	9.4345e-02	6.8347e-02	4.0840e-02	2.2657e-02	3.2196e-02	1.8256e-02	1.3129e-02	8.0260e-02	3.9934e-02	2.0082e-02
98	7.4246e-03	4.2170e-03	2.9830e-03	5.0234e-03	3.4577e-03	2.5926e-03	2.9288e-03	2.0567e-03	1.7416e-03	1.3128e-02	6.8310e-03	4.4437e-03	3.1851e-01	1.9336e-01	9.1398e-02	6.6592e-02	4.0257e-02	2.2409e-02	2.9663e-02	1.7097e-02	1.2076e-02	7.3220e-02	3.5470e-02	1.7971e-02
100	6.6227e-03	3.7214e-03	2.6316e-03	4.3908e-03	2.8981e-03	2.2299e-03	2.6636e-03	1.7832e-03	1.4725e-03	1.2332e-02	6.5522e-03	4.3917e-03	3.1091e-01	1.8770e-01	9.2388e-02	6.4751e-02	3.8721e-02	2.1893e-02	2.7650e-02	1.5666e-02	1.0527e-02	6.8534e-02	3.3808e-02	1.6968e-02
102	6.0565e-03	3.3945e-03	2.5699e-03	3.8576e-03	2.5608e-03	2.1066e-03	2.3057e-03	1.4353e-03	1.1515e-03	1.1435e-02	6.2592e-03	4.3488e-03	3.0215e-01	1.7700e-01	8.5967e-02	6.1886e-02	3.6723e-02	2.1158e-02	2.6245e-02	1.4008e-02	9.0678e-03	6.7434e-02	3.3632e-02	1.7314e-02
104	5.6375e-03	3.2036e-03	2.3942e-03	3.5144e-03	2.3932e-03	1.9517e-03	1.9587e-03	1.0928e-03	8.5824e-04	1.0500e-02	5.9887e-03	4.2857e-03	2.8178e-01	1.6723e-01	7.8437e-02	5.9698e-02	3.5257e-02	1.9864e-02	2.5703e-02	1.3645e-02	9.2071e-03	6.4433e-02	3.3934e-02	1.7202e-02
106	5.3888e-03	3.0836e-03	2.1210e-03	3.2249e-03	2.1977e-03	1.7203e-03	1.6769e-03	8.3837e-04	6.3564e-04	9.7505e-03	5.7735e-03	4.2098e-03	2.6085e-01	1.5611e-01	7.5779e-02	5.8484e-02	3.4366e-02	1.9206e-02	2.5987e-02	1.4109e-02	9.7463e-03	6.1302e-02	3.2665e-02	1.6770e-02
108	5.3385e-03	3.1215e-03	2.0817e-03	3.1125e-03	2.1911e-03	1.5688e-03	1.5010e-03	7.0187e-04	5.5108e-04	9.5335e-03	5.7510e-03	4.2481e-03	2.4784e-01	1.4787e-01	7.2417e-02	5.6554e-02	3.2829e-02	1.9343e-02	2.6110e-02	1.4655e-02	1.0105e-02	5.8382e-02	3.0644e-02	1.7085e-02
110	5.5605e-03	3.3591e-03	2.2400e-03	3.3863e-03	2.4943e-03	1.7853e-03	1.4270e-03	6.9177e-04	5.7623e-04	9.9371e-03	6.0737e-03	4.7816e-03	2.3468e-01	1.4064e-01	6.7377e-02	5.4046e-02	3.1742e-02	1.8580e-02	2.5505e-02	1.4698e-02	1.0383e-02	5.5795e-02	2.9976e-02	1.6684e-02
112	6.0281e-03	3.7810e-03	2.5241e-03	3.9907e-03	3.0228e-03	2.2605e-03	1.4551e-03	7.9788e-04	7.4547e-04	1.0743e-02	6.7486e-03	5.5271e-03	2.1642e-01	1.3152e-01	6.1527e-02	5.1607e-02	3.0170e-02	1.7441e-02	2.4051e-02	1.4182e-02	1.0211e-02	5.4559e-02	2.8900e-02	1.5033e-02
114	6.7268e-03	4.3606e-03	2.9394e-03	4.6739e-03	3.6274e-03	2.7865e-03	1.5923e-03	1.0076e-03	9.9057e-04	1.1498e-02	7.3383e-03	5.9341e-03	1.9807e-01	1.2154e-01	5.7954e-02	4.8949e-02	2.8600e-02	1.6144e-02	2.2193e-02	1.2942e-02	9.5278e-03	5.2497e-02	2.6759e-02	1.2713e-02
116	7.4672e-03	4.9247e-03	3.3034e-03	5.2992e-03	4.0933e-03	3.1703e-03	1.8173e-03	1.2748e-03	1.2561e-03	1.1714e-02	7.4109e-03	5.8439e-03	1.8288e-01	1.1174e-01	5.4373e-02	4.7297e-02	2.7296e-02	1.6158e-02	2.0716e-02	1.1694e-02	8.5384e-03	4.9332e-02	2.5047e-02	1.0827e-02
118	7.9404e-03	5.2397e-03	3.5342e-03	5.6125e-03	4.3023e-03	3.3018e-03	2.0860e-03	1.5528e-03	1.5037e-03	1.1234e-02	6.9377e-03	5.2075e-03	1.7663e-01	1.0601e-01	5.2991e-02	4.5605e-02	2.6165e-02	1.5423e-02	1.9751e-02	1.0904e-02	7.6000e-03	4.6408e-02	2.3772e-02	1.0837e-02
120	7.8756e-03	5.1667e-03	3.5054e-03	5.4766e-03	4.1834e-03	3.1266e-03	2.3153e-03	1.7746e-03	1.6842e-03	1.0154e-02	6.0561e-03	4.4213e-03	1.7250e-01	1.0601e-01	5.2878e-02	4.3304e-02	2.4763e-02	1.4437e-02	1.9450e-02	1.0545e-02	7.2600e-03	4.4244e-02	2.3054e-02	1.2171e-02
122	7.1479e-03	4.5914e-03	3.1767e-03	4.8473e-03	3.6859e-03	2.6942e-03	2.4221e-03	1.8750e-03	1.7471e-03	8.7499e-03	4.9282e-03	3.6895e-03	1.6913e-01	1.0487e-01	5.6585e-02	4.1162e-02	2.4052e-02	1.3822e-02	1.9591e-02	1.0782e-02	7.5496e-03	4.4293e-02	2.3002e-02	1.2747e-02
124	5.9567e-03	3.5908e-03	2.5893e-03	3.7888e-03	2.8564e-03	2.1365e-03	2.3586e-03	1.8118e-03	1.6582e-03	7.7228e-03	4.2799e-03	3.4018e-03	1.6900e-01	1.0649e-01	5.9252e-02	3.9193e-02	2.3377e-02	1.3939e-02	1.9722e-02	1.0907e-02	7.5656e-03	4.4963e-02	2.2624e-02	1.2552e-02
126	4.9478e-03	2.8704e-03	2.3059e-03	2.8405e-03	2.0200e-03	1.6903e-03	2.1192e-03	1.5738e-03	1.4083e-03	7.4628e-03	4.6389e-03	3.9143e-03	1.7168e-01	1.0686e-01	5.9511e-02	3.7995e-02	2.2901e-02	1.4511e-02	1.9380e-02	1.0797e-02	7.5320e-03	4.4468e-02	2.2219e-02	1.1654e-02
128	5.0611e-03	3.1995e-03	2.6627e-03	2.9225e-03	2.2625e-03	2.0336e-03	1.7314e-03	1.1937e-03	1.0209e-03	7.6645e-03	5.2040e-03	4.4481e-03	1.6986e-01	1.0431e-01	5.6703e-02	3.6628e-02	2.2186e-02	1.4348e-02	1.8524e-02	1.0411e-02	7.3228e-03	4.2520e-02	2.1763e-02	1.1044e-02
130	5.9237e-03	3.9408e-03	2.9776e-03	3.6086e-03	2.7751e-03	2.3308e-03	1.3108e-03	7.6339e-04	5.9304e-04	8.0541e-03	5.5571e-03	4.7195e-03	1.6321e-01	9.8811e-02	5.1050e-02	3.5731e-02	2.1612e-02	1.3759e-02	1.7751e-02	1.0046e-02	7.1447e-03	4.0353e-02	2.1097e-02	1.0303e-02
132	6.8190e-03	4.5603e-03	3.0428e-03	4.2603e-03	3.2423e-03	2.4949e-03	1.1039e-03	6.2734e-04	5.4420e-04	8.3427e-03	5.6958e-03	4.6984e-03	1.5371e-01	9.2018e-02	4.6802e-02	3.4730e-02	2.0604e-02	1.3128e-02	1.7262e-02	9.8319e-03	7.1460e-03	3.8304e-02	2.0365e-02	9.0905e-03
134	7.4442e-03	4.9419e-03	3.0119e-03	4.7494e-03	3.5911e-03	2.6026e-03	1.3046e-03	9.1433e-04	8.5988e-04	8.4339e-03	5.6417e-03	4.6302e-03	1.4351e-01	8.5241e-02	4.5347e-02	3.3557e-02	1.9722e-02	1.2634e-02	1.6945e-02	9.7427e-03	7.1435e-03	3.6839e-02	1.9296e-02	8.5939e-03
136	7.6924e-03	5.1112e-03	3.1547e-03	5.1126e-03	3.8656e-03	2.7881e-03	1.6768e-03	1.2497e-03	1.1746e-03	8.3105e-03	5.4493e-03	4.5677e-03	1.3463e-01	8.2048e-02	4.4081e-02	3.2515e-02	1.9203e-02	1.1896e-02	1.6799e-02	9.7933e-03	7.4040e-03	3.5456e-02	1.8466e-02	9.3104e-03
138	7.6182e-03	5.0819e-03	3.3402e-03	5.1714e-03	3.9177e-03	2.8578e-03	2.0093e-03	1.5136e-03	1.4128e-03	8.0164e-03	5.1743e-03	4.3487e-03	1.3056e-01	8.2074e-02	4.5408e-02	3.1372e-02	1.8484e-02	1.1004e-02	1.6877e-02	1.0050e-02	7.5787e-03	3.4062e-02	1.8288e-02	1.0072e-02
