	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
2	6.5447e-01	4.0474e-01	1.4165e-01	1.2345e-01	9.0705e-02	7.1507e-02	1.3760e-01	8.4438e-02	4.7384e-02	1.2048e+00	6.2863e-01	2.2745e-01	1.3577e+01	8.9623e+00	5.1509e+00	1.0233e+00	8.5830e-01	5.8728e-01	1.2282e+00	7.8296e-01	3.1272e-01	2.7224e+00	1.7211e+00	6.1527e-01
4	3.9913e-01	2.3071e-01	7.6959e-02	1.2529e-01	9.6247e-02	7.9263e-02	9.9639e-02	6.4597e-02	2.7955e-02	6.3704e-01	3.6230e-01	1.8294e-01	9.2292e+00	6.6339e+00	3.7899e+00	9.2195e-01	6.6963e-01	4.1418e-01	1.0640e+00	6.2435e-01	3.0381e-01	2.1576e+00	1.2486e+00	5.2621e-01
6	2.8590e-01	1.6644e-01	7.8255e-02	9.3928e-02	6.8875e-02	5.7739e-02	7.2131e-02	4.6108e-02	2.6836e-02	4.7043e-01	2.4504e-01	1.2470e-01	8.3671e+00	5.7513e+00	3.1319e+00	7.7017e-01	5.6370e-01	3.9229e-01	7.4204e-01	4.4319e-01	2.8835e-01	1.5669e+00	8.8431e-01	3.9869e-01
8	2.2022e-01	1.1945e-01	6.0423e-02	7.8844e-02	5.8024e-02	5.0341e-02	5.2437e-02	3.2987e-02	2.3826e-02	3.3743e-01	1.6975e-01	8.7985e-02	7.0345e+00	4.4415e+00	2.2940e+00	8.0691e-01	5.8174e-01	4.0092e-01	6.3527e-01	3.9372e-01	2.3487e-01	1.1764e+00	6.5747e-01	3.4334e-01
10	1.7236e-01	8.3132e-02	4.4675e-02	6.6981e-02	4.7424e-02	3.5236e-02	4.3738e-02	2.5936e-02	1.8162e-02	2.6937e-01	1.3266e-01	7.4320e-02	6.0808e+00	3.8445e+00	1.9820e+00	7.1453e-01	4.9753e-01	3.4664e-01	5.4190e-01	3.3429e-01	1.9583e-01	1.0189e+00	6.0364e-01	3.3926e-01
12	1.2698e-01	6.7425e-02	3.2080e-02	5.4198e-02	3.4084e-02	2.4952e-02	3.4170e-02	2.0807e-02	1.3937e-02	2.2702e-01	1.1433e-01	6.9335e-02	5.5390e+00	3.3159e+00	1.5650e+00	6.3019e-01	4.5652e-01	3.1618e-01	4.5896e-01	2.7511e-01	1.7943e-01	9.3255e-01	5.3548e-01	3.1929e-01
14	1.0651e-01	5.8976e-02	3.3759e-02	5.5338e-02	3.8457e-02	3.1380e-02	2.8560e-02	1.7198e-02	1.2023e-02	1.8990e-01	1.0627e-01	6.8222e-02	4.7932e+00	2.7401e+00	1.3709e+00	6.0368e-01	4.4256e-01	2.9252e-01	4.1712e-01	2.6183e-01	1.8628e-01	8.0823e-01	4.8495e-01	3.2150e-01
16	1.1397e-01	6.7559e-02	4.2418e-02	5.8524e-02	4.3503e-02	3.5485e-02	2.4272e-02	1.4416e-02	9.6408e-03	1.6347e-01	9.9378e-02	6.6010e-02	4.2362e+00	2.5534e+00	1.5474e+00	5.6592e-01	4.0077e-01	2.6389e-01	4.0747e-01	2.6945e-01	1.9027e-01	7.3809e-01	4.7673e-01	3.1779e-01
18	1.2445e-01	7.5580e-02	4.8143e-02	6.3998e-02	4.6868e-02	3.5524e-02	2.0546e-02	1.2282e-02	8.1764e-03	1.4645e-01	9.1881e-02	6.1956e-02	4.0449e+00	2.7944e+00	1.6467e+00	5.1745e-01	3.6015e-01	2.3412e-01	3.8523e-01	2.5754e-01	1.8199e-01	7.2066e-01	4.8475e-01	3.2242e-01
20	1.2533e-01	7.6655e-02	4.6389e-02	6.9968e-02	5.2276e-02	3.5014e-02	2.0062e-02	1.3462e-02	1.0586e-02	1.3169e-01	7.9963e-02	5.3242e-02	4.2271e+00	2.8960e+00	1.6273e+00	4.8283e-01	3.2640e-01	2.0001e-01	3.6808e-01	2.4454e-01	1.6450e-01	6.9256e-01	4.6112e-01	3.1670e-01
