b	i	j	k	px	py	pz	nVx	nVy	nVz	velx	vely	velz	rho	p	u	v	w	mp	fx	fy	fz
4	1	1	12	1.431361e-01	-9.223978e-02	6.235835e-02	1.044926e-05	-6.707243e-06	-5.213091e-07	2.019692e+01	3.134121e+01	0.000000e+00	9.982000e+02	1.365958e+04	3.661826e+00	4.885640e+00	8.947817e+00	7.454598e-04	1.458149e-04	-8.807671e-05	-4.559492e-07	
4	1	2	12	1.435071e-01	-9.174049e-02	6.331534e-02	9.623158e-06	-6.146414e-06	-5.560363e-07	2.008759e+01	3.142245e+01	0.000000e+00	9.982000e+02	1.475707e+04	3.677366e+00	4.921600e+00	8.932914e+00	8.368303e-04	1.454713e-04	-8.666232e-05	-7.385393e-07	
4	1	3	12	1.438188e-01	-9.133025e-02	6.417928e-02	8.653871e-06	-5.489514e-06	-5.118548e-07	1.999776e+01	3.149072e+01	0.000000e+00	9.982000e+02	1.570281e+04	3.851287e+00	5.208932e+00	8.878857e+00	1.114718e-03	1.453210e-04	-8.327674e-05	1.580508e-06	
4	1	4	12	1.440424e-01	-9.105427e-02	6.497779e-02	7.722579e-06	-4.881491e-06	-4.867485e-07	1.993733e+01	3.153966e+01	0.000000e+00	9.982000e+02	1.709862e+04	4.050645e+00	5.499435e+00	9.099014e+00	3.250541e-04	1.785599e-04	-1.101308e-04	-8.175472e-06	
4	2	1	12	1.484319e-01	-8.316565e-02	5.931651e-02	1.129787e-05	-6.327382e-06	-5.210401e-07	1.821003e+01	3.250080e+01	0.000000e+00	9.982000e+02	1.646032e+04	3.467334e+00	5.438805e+00	8.963864e+00	5.266232e-04	1.881669e-04	-1.014491e-04	-3.864512e-06	
4	2	2	12	1.488600e-01	-8.247575e-02	6.022222e-02	1.007440e-05	-5.582579e-06	-5.006986e-07	1.805897e+01	3.259453e+01	0.000000e+00	9.982000e+02	1.687820e+04	3.521927e+00	5.559298e+00	8.936160e+00	6.465858e-04	1.726856e-04	-9.075956e-05	-2.680693e-06	
4	2	3	12	1.491647e-01	-8.200061e-02	6.107199e-02	9.002574e-06	-4.944562e-06	-4.496192e-07	1.795494e+01	3.266124e+01	0.000000e+00	9.982000e+02	1.744751e+04	3.799036e+00	6.081235e+00	8.867412e+00	1.265660e-03	1.640934e-04	-7.947394e-05	3.290921e-06	
4	2	4	12	1.493782e-01	-8.168406e-02	6.186232e-02	8.018911e-06	-4.379526e-06	-4.139185e-07	1.788562e+01	3.270801e+01	0.000000e+00	9.982000e+02	1.882300e+04	4.187811e+00	6.775378e+00	9.014087e+00	7.837320e-04	1.942598e-04	-9.857575e-05	-2.733132e-06	
4	3	1	12	1.532385e-01	-7.366750e-02	5.610451e-02	1.174437e-05	-5.638485e-06	-3.937293e-07	1.613031e+01	3.355326e+01	0.000000e+00	9.982000e+02	2.031397e+04	3.108886e+00	5.795436e+00	9.101726e+00	1.135679e-03	2.426852e-04	-1.080843e-04	2.337858e-06	
4	3	2	12	1.536303e-01	-7.291583e-02	5.699768e-02	1.044208e-05	-4.959702e-06	-4.121449e-07	1.596572e+01	3.363905e+01	0.000000e+00	9.982000e+02	2.057762e+04	3.142181e+00	5.883381e+00	9.111848e+00	1.190523e-03	2.191838e-04	-9.514258e-05	2.364248e-06	
4	3	3	12	1.539099e-01	-7.239567e-02	5.783873e-02	9.311401e-06	-4.378453e-06	-3.749482e-07	1.585183e+01	3.370027e+01	0.000000e+00	9.982000e+02	2.103933e+04	3.371952e+00	6.383922e+00	9.063130e+00	1.371269e-03	2.115203e-04	-8.818149e-05	4.135602e-06	
4	3	4	12	1.541070e-01	-7.204277e-02	5.862170e-02	8.279929e-06	-3.864480e-06	-3.353468e-07	1.577456e+01	3.374342e+01	0.000000e+00	9.982000e+02	2.227911e+04	3.735100e+00	7.151044e+00	9.184078e+00	6.719301e-04	2.185399e-04	-9.571472e-05	-2.540019e-06	
4	4	1	12	1.574647e-01	-6.390625e-02	5.278584e-02	1.213302e-05	-4.917554e-06	-2.579635e-07	1.399298e+01	3.447862e+01	0.000000e+00	9.982000e+02	2.172067e+04	2.730054e+00	6.207874e+00	9.185814e+00	1.465229e-03	2.728266e-04	-9.964408e-05	7.773876e-06	
4	4	2	12	1.578078e-01	-6.310658e-02	5.366986e-02	1.076950e-05	-4.306185e-06	-2.810795e-07	1.381788e+01	3.455376e+01	0.000000e+00	9.982000e+02	2.174317e+04	2.755247e+00	6.286381e+00	9.198560e+00	1.431640e-03	2.423539e-04	-8.610662e-05	6.975506e-06	
4	4	3	12	1.580535e-01	-6.254859e-02	5.450372e-02	9.581607e-06	-3.794795e-06	-2.898069e-07	1.369570e+01	3.460756e+01	0.000000e+00	9.982000e+02	2.265302e+04	2.968445e+00	6.821004e+00	9.178258e+00	1.549168e-03	2.462610e-04	-8.469151e-05	6.976832e-06	
4	4	4	12	1.582282e-01	-6.216588e-02	5.528071e-02	8.505479e-06	-3.339086e-06	-2.596462e-07	1.361190e+01	3.464580e+01	0.000000e+00	9.982000e+02	2.334755e+04	3.310117e+00	7.677095e+00	9.355824e+00	6.255196e-04	2.394985e-04	-8.811510e-05	-1.354992e-06	
4	5	1	12	1.611045e-01	-5.391268e-02	4.937533e-02	1.247414e-05	-4.174129e-06	-1.281006e-07	1.180477e+01	3.527560e+01	0.000000e+00	9.982000e+02	2.283041e+04	2.296244e+00	6.576924e+00	9.221104e+00	1.617055e-03	3.055791e-04	-9.011406e-05	1.185989e-05	
4	5	2	12	1.613913e-01	-5.307798e-02	5.025303e-02	1.105343e-05	-3.629908e-06	-1.307270e-07	1.162201e+01	3.533841e+01	0.000000e+00	9.982000e+02	2.289354e+04	2.304790e+00	6.633444e+00	9.249622e+00	1.526224e-03	2.698136e-04	-7.708601e-05	1.101103e-05	
4	5	3	12	1.615950e-01	-5.249206e-02	5.108193e-02	9.813639e-06	-3.190463e-06	-1.707618e-07	1.149371e+01	3.538300e+01	0.000000e+00	9.982000e+02	2.384621e+04	2.492195e+00	7.199355e+00	9.259746e+00	1.781009e-03	2.789721e-04	-7.585914e-05	1.182132e-05	
4	5	4	12	1.617405e-01	-5.208774e-02	5.185488e-02	8.695181e-06	-2.802504e-06	-1.761735e-07	1.140518e+01	3.541486e+01	0.000000e+00	9.982000e+02	2.438190e+04	2.804560e+00	8.136397e+00	9.445410e+00	4.682444e-04	2.506314e-04	-7.631860e-05	-5.999501e-07	
4	6	1	12	1.641506e-01	-4.371261e-02	4.588217e-02	1.277472e-05	-3.407125e-06	2.450097e-09	9.571356e+00	3.594259e+01	0.000000e+00	9.982000e+02	2.406529e+04	1.842855e+00	6.971879e+00	9.223654e+00	1.862980e-03	3.459015e-04	-7.800073e-05	1.733054e-05	
