	(mgLevel0,block0)	(mgLevel1,block0)	(mgLevel2,block0)	(mgLevel0,block1)	(mgLevel1,block1)	(mgLevel2,block1)	(mgLevel0,block2)	(mgLevel1,block2)	(mgLevel2,block2)	(mgLevel0,block3)	(mgLevel1,block3)	(mgLevel2,block3)	(mgLevel0,block4)	(mgLevel1,block4)	(mgLevel2,block4)	(mgLevel0,block5)	(mgLevel1,block5)	(mgLevel2,block5)	(mgLevel0,block6)	(mgLevel1,block6)	(mgLevel2,block6)	(mgLevel0,block7)	(mgLevel1,block7)	(mgLevel2,block7)
92	6.0850e-03	2.6988e-03	1.4398e-03	3.3700e-03	2.2282e-03	1.7042e-03	2.7536e-03	1.7145e-03	2.3844e-03	1.1866e-02	6.0511e-03	3.3623e-03	2.8985e-01	1.3622e-01	6.6259e-02	3.2394e-02	1.6441e-02	9.3010e-03	2.1159e-02	1.2071e-02	5.9644e-03	6.2530e-02	3.1431e-02	1.3664e-02
94	5.5067e-03	2.3637e-03	1.1149e-03	2.9933e-03	1.8888e-03	1.3271e-03	2.6395e-03	1.6316e-03	2.2881e-03	1.1371e-02	5.7343e-03	2.9185e-03	2.7538e-01	1.2647e-01	5.9784e-02	3.0805e-02	1.5864e-02	8.8636e-03	1.9849e-02	1.0919e-02	5.4077e-03	6.0034e-02	3.0749e-02	1.3793e-02
96	4.9353e-03	2.0182e-03	7.8499e-04	2.5720e-03	1.4599e-03	8.9715e-04	2.5579e-03	1.5732e-03	2.2189e-03	1.0854e-02	5.3585e-03	2.7470e-03	2.5533e-01	1.1438e-01	5.2022e-02	2.9614e-02	1.5118e-02	8.2380e-03	1.8644e-02	1.0086e-02	5.1922e-03	5.9209e-02	3.0812e-02	1.3893e-02
98	4.4200e-03	1.7696e-03	7.2966e-04	2.2447e-03	1.1559e-03	6.3423e-04	2.4810e-03	1.5130e-03	2.1412e-03	1.0634e-02	5.0345e-03	2.5695e-03	2.3446e-01	1.0255e-01	4.4841e-02	2.8393e-02	1.4292e-02	7.6819e-03	1.7335e-02	9.6391e-03	5.1894e-03	5.8479e-02	3.0350e-02	1.3424e-02
100	4.1704e-03	1.8433e-03	1.0175e-03	2.2189e-03	1.2348e-03	7.1661e-04	2.3929e-03	1.4333e-03	2.0530e-03	1.0491e-02	4.6978e-03	2.3695e-03	2.1535e-01	9.0976e-02	3.8078e-02	2.6697e-02	1.3670e-02	7.3199e-03	1.5883e-02	8.9713e-03	4.9660e-03	5.7344e-02	2.9175e-02	1.2309e-02
102	4.3189e-03	2.1364e-03	1.3782e-03	2.4238e-03	1.5320e-03	1.0609e-03	2.3043e-03	1.3578e-03	2.0189e-03	1.0159e-02	4.2839e-03	2.1950e-03	1.9723e-01	8.3682e-02	3.3323e-02	2.4465e-02	1.2646e-02	6.6603e-03	1.4183e-02	8.0938e-03	4.4663e-03	5.5035e-02	2.7306e-02	1.0997e-02
104	4.5885e-03	2.4482e-03	1.6729e-03	2.6457e-03	1.7745e-03	1.3270e-03	2.2733e-03	1.3541e-03	2.0374e-03	9.3448e-03	3.9025e-03	1.9997e-03	1.8229e-01	7.5090e-02	2.9392e-02	2.2838e-02	1.1634e-02	6.0951e-03	1.2458e-02	7.1026e-03	3.8188e-03	5.2677e-02	2.5142e-02	9.8182e-03
106	4.7251e-03	2.6430e-03	1.8841e-03	2.7411e-03	1.8962e-03	1.4464e-03	2.3299e-03	1.4622e-03	2.1348e-03	8.4234e-03	3.5480e-03	1.8084e-03	1.6558e-01	6.5485e-02	2.5987e-02	2.1787e-02	1.0966e-02	5.5630e-03	1.1010e-02	6.1968e-03	3.1337e-03	5.0281e-02	2.3672e-02	9.1076e-03
108	4.6783e-03	2.6821e-03	1.9795e-03	2.6899e-03	1.8761e-03	1.4663e-03	2.4252e-03	1.5873e-03	2.2432e-03	7.5572e-03	3.2382e-03	1.6276e-03	1.4880e-01	5.8618e-02	2.3597e-02	2.0939e-02	1.0158e-02	5.0109e-03	9.8543e-03	5.3923e-03	2.4795e-03	4.8528e-02	2.2954e-02	8.8473e-03
110	4.3988e-03	2.5295e-03	1.9742e-03	2.5034e-03	1.7482e-03	1.4392e-03	2.4985e-03	1.6692e-03	2.3060e-03	6.8672e-03	2.9847e-03	1.4641e-03	1.3317e-01	5.3026e-02	2.1547e-02	1.9733e-02	9.5316e-03	4.7120e-03	8.9926e-03	4.6861e-03	2.0135e-03	4.6901e-02	2.2330e-02	8.5812e-03
112	3.9576e-03	2.2402e-03	1.9054e-03	2.2653e-03	1.5799e-03	1.3666e-03	2.5160e-03	1.6900e-03	2.3175e-03	6.4059e-03	2.8464e-03	1.4167e-03	1.2178e-01	4.8932e-02	2.0805e-02	1.9078e-02	9.1150e-03	4.6232e-03	8.2909e-03	4.2091e-03	1.7445e-03	4.5450e-02	2.1613e-02	8.0844e-03
114	3.5037e-03	1.9154e-03	1.7856e-03	2.0603e-03	1.4050e-03	1.2687e-03	2.4800e-03	1.6589e-03	2.2894e-03	6.0771e-03	2.7850e-03	1.4604e-03	1.0850e-01	4.5779e-02	1.9491e-02	1.8027e-02	8.6279e-03	4.4765e-03	7.7258e-03	3.9357e-03	1.6870e-03	4.4257e-02	2.0733e-02	7.4808e-03
116	3.1445e-03	1.6628e-03	1.6610e-03	1.9290e-03	1.2710e-03	1.1574e-03	2.4140e-03	1.6012e-03	2.2587e-03	5.8219e-03	2.7613e-03	1.5172e-03	1.0090e-01	4.3876e-02	1.8550e-02	1.7105e-02	8.1286e-03	4.2305e-03	7.2900e-03	3.8552e-03	1.8166e-03	4.2856e-02	1.9350e-02	6.6929e-03
118	2.8596e-03	1.4838e-03	1.4925e-03	1.8047e-03	1.1428e-03	1.0371e-03	2.3406e-03	1.5350e-03	2.2431e-03	5.5814e-03	2.6722e-03	1.5156e-03	9.5288e-02	4.2822e-02	1.8173e-02	1.6078e-02	7.6246e-03	3.9754e-03	6.9995e-03	3.8562e-03	2.0617e-03	4.0672e-02	1.8096e-02	5.8205e-03
120	2.6049e-03	1.3022e-03	1.3356e-03	1.6381e-03	9.7197e-04	8.4315e-04	2.2722e-03	1.4723e-03	2.2221e-03	5.3072e-03	2.5346e-03	1.5077e-03	9.0495e-02	4.1221e-02	1.7797e-02	1.5331e-02	7.3444e-03	3.7852e-03	6.7952e-03	3.8186e-03	2.1683e-03	3.8850e-02	1.7079e-02	5.1552e-03
122	2.3769e-03	1.1453e-03	1.2141e-03	1.4715e-03	8.2943e-04	7.2142e-04	2.2141e-03	1.4272e-03	2.1987e-03	5.0098e-03	2.3083e-03	1.4283e-03	8.5122e-02	4.0109e-02	1.6909e-02	1.4571e-02	7.0307e-03	3.5606e-03	6.4990e-03	3.6952e-03	2.1580e-03	3.7349e-02	1.6180e-02	4.6640e-03
124	2.2575e-03	1.1119e-03	1.1290e-03	1.4115e-03	8.1278e-04	6.6824e-04	2.1669e-03	1.3922e-03	2.1768e-03	4.7320e-03	2.1356e-03	1.3393e-03	7.8792e-02	3.7451e-02	1.5670e-02	1.3981e-02	6.6485e-03	3.3237e-03	6.1351e-03	3.4924e-03	2.0547e-03	3.6260e-02	1.5613e-02	4.4265e-03
126	2.2859e-03	1.1748e-03	1.1337e-03	1.4545e-03	8.9763e-04	7.5368e-04	2.1345e-03	1.3677e-03	2.1576e-03	4.4677e-03	2.0832e-03	1.2748e-03	7.2266e-02	3.4286e-02	1.4345e-02	1.3454e-02	6.2852e-03	3.1501e-03	5.7769e-03	3.2930e-03	1.9197e-03	3.4993e-02	1.4993e-02	4.2811e-03
128	2.4162e-03	1.3001e-03	1.1595e-03	1.5553e-03	9.9716e-04	8.6166e-04	2.1227e-03	1.3545e-03	2.1460e-03	4.2558e-03	2.0571e-03	1.3599e-03	6.5836e-02	3.1215e-02	1.3141e-02	1.2836e-02	5.9156e-03	3.0379e-03	5.5108e-03	3.1156e-03	1.7748e-03	3.3516e-02	1.4333e-02	4.0474e-03
130	2.5822e-03	1.4349e-03	1.1622e-03	1.6488e-03	1.0787e-03	9.4279e-04	2.1292e-03	1.3666e-03	2.1432e-03	4.0763e-03	2.0525e-03	1.4287e-03	6.1691e-02	2.8713e-02	1.1987e-02	1.1895e-02	5.4501e-03	2.7564e-03	5.2739e-03	2.9401e-03	1.6421e-03	3.2222e-02	1.3846e-02	3.8180e-03
132	2.7075e-03	1.5330e-03	1.1176e-03	1.6991e-03	1.1325e-03	9.6098e-04	2.1457e-03	1.4020e-03	2.1700e-03	3.8824e-03	2.0115e-03	1.4006e-03	5.8440e-02	2.7917e-02	1.1909e-02	1.1125e-02	4.9391e-03	2.3812e-03	5.0542e-03	2.7284e-03	1.4552e-03	3.0756e-02	1.3415e-02	3.6355e-03
134	2.7147e-03	1.5286e-03	1.0274e-03	1.6787e-03	1.1361e-03	9.1767e-04	2.1622e-03	1.4409e-03	2.2017e-03	3.6583e-03	1.9104e-03	1.3035e-03	5.9534e-02	2.7249e-02	1.1908e-02	1.0450e-02	4.5959e-03	2.1641e-03	4.8081e-03	2.5000e-03	1.2313e-03	2.9530e-02	1.2988e-02	3.5640e-03
136	2.5905e-03	1.4146e-03	8.8686e-04	1.5718e-03	1.0555e-03	8.4499e-04	2.1666e-03	1.4613e-03	2.2169e-03	3.4262e-03	1.7939e-03	1.1789e-03	5.8784e-02	2.6869e-02	1.1792e-02	9.9138e-03	4.4164e-03	2.0965e-03	4.5199e-03	2.3026e-03	1.0395e-03	2.8710e-02	1.2354e-02	3.5507e-03
138	2.3327e-03	1.2084e-03	7.1932e-04	1.3806e-03	9.0301e-04	7.0782e-04	2.1482e-03	1.4503e-03	2.2038e-03	3.2071e-03	1.6623e-03	1.0592e-03	5.8705e-02	2.6528e-02	1.1759e-02	9.5159e-03	4.2865e-03	2.1086e-03	4.2768e-03	2.1715e-03	1.0317e-03	2.7655e-02	1.1817e-02	3.5186e-03
140	2.0117e-03	9.3517e-04	5.3498e-04	1.1645e-03	7.0526e-04	5.0630e-04	2.1068e-03	1.4079e-03	2.1593e-03	3.0237e-03	1.5431e-03	9.9244e-04	5.7455e-02	2.5774e-02	1.1555e-02	9.1787e-03	4.1501e-03	2.0971e-03	4.1128e-03	2.0986e-03	1.1415e-03	2.6419e-02	1.1305e-02	3.3456e-03
142	1.7588e-03	7.5721e-04	4.6661e-04	1.0120e-03	5.4091e-04	3.3513e-04	2.0459e-03	1.3459e-03	2.0877e-03	2.9168e-03	1.5743e-03	1.0891e-03	5.5092e-02	2.4337e-02	1.1060e-02	8.7242e-03	3.9359e-03	2.0793e-03	4.0215e-03	2.1032e-03	1.3048e-03	2.4996e-02	1.0733e-02	3.1340e-03
144	1.6976e-03	8.2091e-04	6.2857e-04	9.6304e-04	5.4361e-04	3.4632e-04	1.9828e-03	1.2785e-03	2.0234e-03	2.9041e-03	1.6618e-03	1.1907e-03	5.4008e-02	2.2364e-02	9.6026e-03	8.5065e-03	3.8421e-03	2.0281e-03	3.9866e-03	2.1921e-03	1.4499e-03	2.3761e-02	1.0201e-02	2.9054e-03
146	1.8125e-03	9.6745e-04	7.9216e-04	1.0281e-03	6.3263e-04	4.2936e-04	1.9385e-03	1.2371e-03	2.0045e-03	2.9184e-03	1.6941e-03	1.2105e-03	5.0793e-02	2.1232e-02	8.5841e-03	8.0476e-03	3.5753e-03	1.8243e-03	3.9846e-03	2.3285e-03	1.6047e-03	2.2623e-02	9.7644e-03	2.6866e-03
148	1.9610e-03	1.1298e-03	9.6009e-04	1.1317e-03	7.4390e-04	5.4645e-04	1.9407e-03	1.2415e-03	2.0194e-03	2.8899e-03	1.6492e-03	1.1455e-03	4.7576e-02	1.9673e-02	8.2810e-03	7.5235e-03	3.2662e-03	1.6569e-03	3.9544e-03	2.4046e-03	1.7053e-03	2.1639e-02	9.3174e-03	2.5734e-03
150	2.0606e-03	1.2675e-03	1.1047e-03	1.2217e-03	8.4850e-04	6.6214e-04	1.9802e-03	1.2728e-03	2.0430e-03	2.7804e-03	1.5401e-03	1.0264e-03	4.6100e-02	1.9370e-02	8.0595e-03	7.1412e-03	3.0460e-03	1.4630e-03	3.8602e-03	2.3691e-03	1.6812e-03	2.0711e-02	9.0211e-03	2.5143e-03
152	2.1048e-03	1.3368e-03	1.2103e-03	1.2500e-03	9.0972e-04	7.5886e-04	2.0300e-03	1.3197e-03	2.0717e-03	2.6418e-03	1.4042e-03	9.1197e-04	4.4496e-02	1.9071e-02	7.8824e-03	6.8124e-03	2.8423e-03	1.3021e-03	3.6633e-03	2.2108e-03	1.5255e-03	1.9932e-02	8.7502e-03	2.4082e-03
154	2.0577e-03	1.3189e-03	1.2603e-03	1.2171e-03	9.1190e-04	8.0105e-04	2.0745e-03	1.3681e-03	2.1012e-03	2.5075e-03	1.2692e-03	8.2929e-04	4.3949e-02	1.9296e-02	7.9420e-03	6.4813e-03	2.6917e-03	1.1951e-03	3.4308e-03	1.9785e-03	1.2857e-03	1.9169e-02	8.4205e-03	2.2579e-03
156	1.9166e-03	1.2196e-03	1.2490e-03	1.1171e-03	8.5346e-04	7.9066e-04	2.1007e-03	1.3985e-03	2.1243e-03	2.4245e-03	1.1683e-03	7.4672e-04	4.4263e-02	1.8652e-02	7.9305e-03	6.2793e-03	2.5665e-03	1.1906e-03	3.1837e-03	1.7115e-03	1.0453e-03	1.8463e-02	8.0137e-03	2.0396e-03
158	1.7174e-03	1.0596e-03	1.1965e-03	9.7487e-04	7.5176e-04	7.3185e-04	2.1044e-03	1.4075e-03	2.1399e-03	2.3925e-03	1.1380e-03	7.1078e-04	4.1922e-02	1.8013e-02	7.7348e-03	6.0243e-03	2.4635e-03	1.2022e-03	2.9579e-03	1.4916e-03	8.3837e-04	1.7688e-02	7.5706e-03	1.8461e-03
160	1.5212e-03	8.8297e-04	1.1050e-03	8.4420e-04	6.3527e-04	6.3992e-04	2.0889e-03	1.3980e-03	2.1477e-03	2.3704e-03	1.1375e-03	7.1479e-04	4.1872e-02	1.7156e-02	7.0510e-03	5.6434e-03	2.3774e-03	1.2082e-03	2.7889e-03	1.3499e-03	7.3537e-04	1.6872e-02	7.1943e-03	1.7583e-03
162	1.3751e-03	7.8273e-04	1.0365e-03	7.5765e-04	5.4186e-04	5.7557e-04	2.0617e-03	1.3788e-03	2.1472e-03	2.3268e-03	1.1450e-03	7.5326e-04	4.0107e-02	1.5851e-02	6.2388e-03	5.3979e-03	2.2918e-03	1.1769e-03	2.6810e-03	1.3219e-03	7.8931e-04	1.6051e-02	6.9020e-03	1.7519e-03
164	1.2963e-03	7.4642e-04	1.0148e-03	7.1747e-04	4.8549e-04	5.4260e-04	2.0318e-03	1.3595e-03	2.1405e-03	2.2659e-03	1.1365e-03	7.6676e-04	3.8688e-02	1.4925e-02	5.7148e-03	5.1400e-03	2.2167e-03	1.1430e-03	2.6352e-03	1.3922e-03	9.0879e-04	1.5345e-02	6.6264e-03	1.7649e-03
166	1.2617e-03	7.2184e-04	9.4979e-04	6.9205e-04	4.6781e-04	4.9698e-04	2.0054e-03	1.3383e-03	2.1285e-03	2.1859e-03	1.0876e-03	7.2168e-04	3.6302e-02	1.4509e-02	5.7644e-03	4.9629e-03	2.2199e-03	1.1410e-03	2.6104e-03	1.4642e-03	1.0181e-03	1.4645e-02	6.3021e-03	1.7333e-03
168	1.2378e-03	6.8951e-04	8.5935e-04	6.8180e-04	4.5988e-04	4.4941e-04	1.9839e-03	1.3160e-03	2.1144e-03	2.0884e-03	9.9619e-04	6.3291e-04	3.3439e-02	1.4185e-02	5.6348e-03	4.9380e-03	2.1747e-03	1.1475e-03	2.5459e-03	1.4801e-03	1.0748e-03	1.4026e-02	5.9854e-03	1.6691e-03
170	1.2073e-03	6.5829e-04	7.7550e-04	6.7200e-04	4.5253e-04	4.3251e-04	1.9671e-03	1.2968e-03	2.1004e-03	1.9854e-03	8.8799e-04	5.2457e-04	3.0480e-02	1.3602e-02	5.6601e-03	4.8919e-03	2.0943e-03	1.1361e-03	2.4245e-03	1.4216e-03	1.0549e-03	1.3443e-02	5.6638e-03	1.5570e-03
172	1.1729e-03	6.2835e-04	7.1218e-04	6.5387e-04	4.3744e-04	4.2829e-04	1.9539e-03	1.2825e-03	2.0875e-03	1.8884e-03	7.9228e-04	4.5433e-04	2.9625e-02	1.2889e-02	5.4177e-03	4.7049e-03	2.0145e-03	1.0620e-03	2.2627e-03	1.3113e-03	9.7089e-04	1.2844e-02	5.3700e-03	1.4164e-03
174	1.1441e-03	6.0032e-04	6.6791e-04	6.3391e-04	4.1703e-04	4.2785e-04	1.9443e-03	1.2722e-03	2.0774e-03	1.8162e-03	7.6532e-04	4.5591e-04	2.8944e-02	1.2003e-02	4.9173e-03	4.4854e-03	1.8866e-03	9.5429e-04	2.0971e-03	1.1715e-03	8.3780e-04	1.2300e-02	5.0690e-03	1.2773e-03
176	1.1058e-03	5.7463e-04	6.4133e-04	6.1065e-04	3.9651e-04	4.1871e-04	1.9376e-03	1.2642e-03	2.0684e-03	1.7677e-03	7.6430e-04	4.7153e-04	2.8164e-02	1.1428e-02	4.4510e-03	4.2029e-03	1.7675e-03	8.2250e-04	1.9408e-03	1.0232e-03	6.8886e-04	1.1782e-02	4.7930e-03	1.2084e-03
178	1.0538e-03	5.4811e-04	6.2361e-04	5.8811e-04	3.7468e-04	4.0096e-04	1.9325e-03	1.2582e-03	2.0608e-03	1.7354e-03	7.7033e-04	4.6752e-04	2.7993e-02	1.0782e-02	4.0779e-03	3.9747e-03	1.6610e-03	7.1308e-04	1.8014e-03	8.7348e-04	5.4844e-04	1.1359e-02	4.5523e-03	1.2275e-03
180	9.9157e-04	5.1391e-04	6.0680e-04	5.5808e-04	3.4465e-04	3.7188e-04	1.9275e-03	1.2539e-03	2.0553e-03	1.6782e-03	7.5391e-04	4.6124e-04	2.7595e-02	1.0225e-02	3.9390e-03	3.7797e-03	1.5383e-03	6.8755e-04	1.6765e-03	7.4360e-04	4.3983e-04	1.1017e-02	4.3653e-03	1.2503e-03
182	9.2041e-04	4.6884e-04	5.8531e-04	5.2009e-04	3.0711e-04	3.3126e-04	1.9222e-03	1.2499e-03	2.0508e-03	1.5867e-03	7.2045e-04	4.3471e-04	2.6631e-02	9.8769e-03	4.1180e-03	3.6942e-03	1.4370e-03	7.0878e-04	1.5386e-03	6.7275e-04	4.1021e-04	1.0566e-02	4.1706e-03	1.2512e-03
184	8.4219e-04	4.1484e-04	5.5510e-04	4.7481e-04	2.5905e-04	2.8004e-04	1.9156e-03	1.2453e-03	2.0473e-03	1.4672e-03	6.7279e-04	3.9594e-04	2.5941e-02	9.6504e-03	4.0321e-03	3.5441e-03	1.3943e-03	7.4478e-04	1.4438e-03	6.6782e-04	4.5298e-04	1.0082e-02	3.9200e-03	1.2058e-03
186	7.6871e-04	3.6541e-04	5.1908e-04	4.2845e-04	2.0811e-04	2.2153e-04	1.9082e-03	1.2415e-03	2.0447e-03	1.3402e-03	6.2287e-04	3.7401e-04	2.5101e-02	8.8856e-03	3.8342e-03	3.4369e-03	1.3805e-03	7.3952e-04	1.4178e-03	6.9805e-04	5.0596e-04	9.5587e-03	3.6897e-03	1.1277e-03
188	7.2170e-04	3.4663e-04	5.1358e-04	3.9438e-04	1.7769e-04	1.9801e-04	1.9015e-03	1.2406e-03	2.0440e-03	1.2345e-03	5.9017e-04	3.7815e-04	2.3656e-02	8.6502e-03	3.6133e-03	3.4004e-03	1.3298e-03	7.2664e-04	1.3913e-03	7.3340e-04	5.4541e-04	9.0858e-03	3.4575e-03	1.0349e-03
190	7.1604e-04	3.7327e-04	5.4639e-04	3.8967e-04	1.8867e-04	2.1458e-04	1.8970e-03	1.2422e-03	2.0456e-03	1.1585e-03	5.8033e-04	3.8462e-04	2.2115e-02	8.1106e-03	3.2338e-03	3.2967e-03	1.2540e-03	6.9266e-04	1.3314e-03	7.4445e-04	5.6006e-04	8.6300e-03	3.2433e-03	9.4568e-04
192	7.5932e-04	4.3197e-04	5.9369e-04	4.1075e-04	2.3019e-04	2.5748e-04	1.8978e-03	1.2461e-03	2.0488e-03	1.1092e-03	5.7035e-04	3.8228e-04	2.0504e-02	7.2860e-03	2.7699e-03	3.0921e-03	1.1738e-03	6.2739e-04	1.2381e-03	7.2284e-04	5.5313e-04	8.1987e-03	3.0601e-03	8.8708e-04
194	8.1850e-04	4.9976e-04	6.4999e-04	4.4909e-04	2.8002e-04	3.0645e-04	1.9029e-03	1.2527e-03	2.0537e-03	1.0641e-03	5.5689e-04	3.7336e-04	1.9754e-02	6.6061e-03	2.4416e-03	3.0554e-03	1.1107e-03	5.4848e-04	1.1456e-03	6.8247e-04	5.2563e-04	7.8262e-03	2.8786e-03	8.4440e-04
196	8.6945e-04	5.5866e-04	7.0463e-04	4.8762e-04	3.2590e-04	3.5485e-04	1.9110e-03	1.2611e-03	2.0600e-03	1.0184e-03	5.3613e-04	3.6595e-04	1.8279e-02	6.0434e-03	2.3292e-03	2.9567e-03	1.0364e-03	4.8684e-04	1.0553e-03	6.3278e-04	4.8394e-04	7.5536e-03	2.7384e-03	8.0649e-04
198	8.9870e-04	5.9552e-04	7.4848e-04	5.1348e-04	3.5884e-04	3.8849e-04	1.9203e-03	1.2711e-03	2.0671e-03	9.6756e-04	5.1083e-04	3.5453e-04	1.8112e-02	5.7317e-03	2.2389e-03	2.7687e-03	9.9099e-04	4.4942e-04	9.6263e-04	5.6722e-04	4.2591e-04	7.2934e-03	2.6356e-03	7.6470e-04
200	8.9955e-04	6.0427e-04	7.7698e-04	5.1879e-04	3.7293e-04	4.0512e-04	1.9294e-03	1.2813e-03	2.0745e-03	9.1854e-04	4.7704e-04	3.3152e-04	1.7069e-02	5.6233e-03	2.2252e-03	2.5730e-03	9.1771e-04	4.1157e-04	8.8232e-04	4.9256e-04	3.5634e-04	7.0367e-03	2.5486e-03	7.2762e-04
202	8.6800e-04	5.8252e-04	7.8713e-04	5.0290e-04	3.6674e-04	4.0410e-04	1.9368e-03	1.2899e-03	2.0815e-03	8.7122e-04	4.4765e-04	2.9658e-04	1.6617e-02	5.5950e-03	2.3430e-03	2.3989e-03	8.6232e-04	3.9285e-04	8.1166e-04	4.2723e-04	2.9991e-04	6.7751e-03	2.4684e-03	7.0648e-04
204	8.0656e-04	5.3465e-04	7.7598e-04	4.6883e-04	3.4111e-04	3.8557e-04	1.9415e-03	1.2959e-03	2.0872e-03	8.3201e-04	4.2250e-04	2.7638e-04	1.5996e-02	5.7703e-03	2.5234e-03	2.3149e-03	8.5205e-04	3.9056e-04	7.6668e-04	3.9010e-04	2.6750e-04	6.5314e-03	2.3863e-03	6.7854e-04
206	7.2949e-04	4.6745e-04	7.4899e-04	4.2538e-04	3.0109e-04	3.5202e-04	1.9428e-03	1.2984e-03	2.0908e-03	8.0537e-04	4.0596e-04	2.6182e-04	1.6069e-02	6.0242e-03	2.5554e-03	2.2242e-03	8.4581e-04	4.0947e-04	7.4986e-04	3.7982e-04	2.6943e-04	6.2893e-03	2.3004e-03	6.4249e-04
208	6.5997e-04	4.0713e-04	7.1588e-04	3.8242e-04	2.5476e-04	3.1773e-04	1.9406e-03	1.2973e-03	2.0921e-03	7.8800e-04	3.9658e-04	2.6862e-04	1.5985e-02	5.9910e-03	2.4778e-03	2.0825e-03	8.0532e-04	4.1918e-04	7.4542e-04	3.9263e-04	2.9312e-04	6.0566e-03	2.2171e-03	5.9839e-04
210	6.2166e-04	3.8552e-04	7.1246e-04	3.5619e-04	2.2502e-04	3.0801e-04	1.9354e-03	1.2930e-03	2.0911e-03	7.7357e-04	3.9929e-04	2.8286e-04	1.5664e-02	5.7763e-03	2.2590e-03	1.9788e-03	7.9731e-04	4.1512e-04	7.4944e-04	4.2028e-04	3.2383e-04	5.8430e-03	2.1311e-03	5.6431e-04
212	6.1350e-04	3.9363e-04	7.0282e-04	3.5021e-04	2.3239e-04	3.0670e-04	1.9285e-03	1.2862e-03	2.0883e-03	7.5802e-04	3.9414e-04	2.8363e-04	1.5688e-02	5.5764e-03	1.9929e-03	1.9285e-03	7.7611e-04	3.9950e-04	7.5011e-04	4.5407e-04	3.5689e-04	5.6302e-03	2.0266e-03	5.4172e-04
214	6.2732e-04	4.0829e-04	6.8395e-04	3.5825e-04	2.4800e-04	3.1288e-04	1.9212e-03	1.2782e-03	2.0839e-03	7.3370e-04	3.7199e-04	2.6136e-04	1.4465e-02	5.3203e-03	1.9102e-03	1.9225e-03	7.2505e-04	3.6408e-04	7.4033e-04	4.7864e-04	3.8164e-04	5.4153e-03	1.9219e-03	5.0839e-04
216	6.4378e-04	4.1454e-04	6.5997e-04	3.6398e-04	2.5673e-04	3.1311e-04	1.9138e-03	1.2700e-03	2.0786e-03	6.9752e-04	3.4109e-04	2.3169e-04	1.3355e-02	5.0384e-03	1.8198e-03	1.8501e-03	6.5828e-04	3.2448e-04	7.1469e-04	4.7802e-04	3.8289e-04	5.2886e-03	1.8559e-03	4.9063e-04
218	6.4984e-04	4.0851e-04	6.3192e-04	3.6098e-04	2.5459e-04	3.0718e-04	1.9069e-03	1.2624e-03	2.0728e-03	6.5601e-04	3.1467e-04	2.0836e-04	1.3289e-02	4.4292e-03	1.7112e-03	1.7626e-03	6.2124e-04	2.8620e-04	6.7672e-04	4.5450e-04	3.5972e-04	5.1664e-03	1.7930e-03	4.7102e-04
220	6.4280e-04	3.9083e-04	6.0179e-04	3.4900e-04	2.4209e-04	2.9895e-04	1.9004e-03	1.2560e-03	2.0672e-03	6.1455e-04	2.9231e-04	1.9786e-04	1.3210e-02	4.2072e-03	1.6912e-03	1.6408e-03	5.8644e-04	2.4748e-04	6.3166e-04	4.1715e-04	3.1820e-04	4.9842e-03	1.7249e-03	4.6267e-04
222	6.2235e-04	3.6362e-04	5.7269e-04	3.2860e-04	2.2200e-04	2.8573e-04	1.8944e-03	1.2513e-03	2.0622e-03	5.7782e-04	2.8055e-04	1.8742e-04	1.2485e-02	4.2713e-03	1.6327e-03	1.5763e-03	5.3872e-04	2.3142e-04	5.8297e-04	3.6713e-04	2.6779e-04	4.7943e-03	1.6586e-03	4.5475e-04
224	5.9050e-04	3.3212e-04	5.4708e-04	3.0549e-04	1.9912e-04	2.6704e-04	1.8895e-03	1.2480e-03	2.0582e-03	5.5052e-04	2.7942e-04	1.7913e-04	1.1981e-02	4.2487e-03	1.5894e-03	1.5132e-03	5.4327e-04	2.2272e-04	5.4010e-04	3.1056e-04	2.1519e-04	4.5957e-03	1.5921e-03	4.3786e-04
226	5.5317e-04	3.0120e-04	5.2649e-04	2.8313e-04	1.7585e-04	2.4438e-04	1.8861e-03	1.2461e-03	2.0554e-03	5.2684e-04	2.7274e-04	1.7254e-04	1.2519e-02	4.1958e-03	1.6066e-03	1.4787e-03	5.2287e-04	2.2333e-04	5.0988e-04	2.7300e-04	1.8279e-04	4.4014e-03	1.5169e-03	4.1722e-04
228	5.2043e-04	2.7688e-04	5.0955e-04	2.6457e-04	1.5561e-04	2.1997e-04	1.8841e-03	1.2453e-03	2.0539e-03	5.0264e-04	2.6536e-04	1.6282e-04	1.3083e-02	4.1817e-03	1.5847e-03	1.4471e-03	5.2380e-04	2.3647e-04	4.9348e-04	2.5725e-04	1.7497e-04	4.2175e-03	1.4321e-03	3.9532e-04
230	4.9590e-04	2.6858e-04	5.0107e-04	2.5294e-04	1.4481e-04	2.0077e-04	1.8836e-03	1.2457e-03	2.0535e-03	4.8029e-04	2.5944e-04	1.6495e-04	1.2843e-02	4.0881e-03	1.4703e-03	1.3811e-03	5.1606e-04	2.4863e-04	4.8798e-04	2.6333e-04	1.8934e-04	4.0591e-03	1.3516e-03	3.7793e-04
