b	dir	mp	f1	f2	f3
0	MinI	1.576380e+01	1.002791e-01	-6.141193e-02	1.907650e-01
0	PluI	1.405248e+01	1.056953e-01	-3.118676e-02	1.745782e-01
0	MinJ	-3.005483e+01	-8.410722e-02	-8.859318e-02	-5.460541e-01
0	PluJ	2.359817e-01	4.624683e-02	1.818576e-01	8.006700e-02
0	MinK	-3.312148e-03	1.295206e-01	1.077327e-03	-7.488039e-02
0	PluK	1.046731e-04	-2.976741e-01	-1.724445e-03	1.754283e-01
1	MinI	-2.911388e+01	-2.210371e-01	8.971255e-02	-4.474753e-01
1	PluI	2.528514e+01	1.505068e-01	-1.089514e-01	3.076151e-01
1	MinJ	1.221238e+00	-1.622343e-01	-5.460294e-01	-1.308815e-01
1	PluJ	2.630672e+00	3.556525e-01	5.282952e-01	1.949806e-01
1	MinK	-1.757547e-02	9.336378e-02	-2.704181e-02	-5.635478e-02
1	PluK	-9.765182e-03	-2.162938e-01	6.402827e-02	1.320475e-01
2	MinI	-5.535119e+01	-5.818328e-07	1.013929e-07	-1.687296e+00
2	PluI	5.533259e+01	4.538546e-01	-9.244902e-02	9.293490e-01
2	MinJ	5.735584e+00	3.343756e-01	-1.675726e+00	5.875318e-02
2	PluJ	-5.751137e+00	6.248666e-01	1.591161e+00	-5.888008e-02
2	MinK	6.676374e-02	7.072409e-01	-1.233723e-01	-7.289638e-02
2	PluK	1.876189e-01	-2.120528e+00	3.004268e-01	8.340369e-01
3	MinI	-5.510580e+01	-3.592395e-01	2.049247e-01	-6.777323e-01
3	PluI	5.509100e+01	1.980110e-01	-2.273507e-01	6.656791e-01
3	MinJ	1.790629e+01	1.051407e-01	-2.893173e-01	9.161766e-02
3	PluJ	-1.790512e+01	6.777888e-02	2.997442e-01	-9.162786e-02
3	MinK	2.282126e-02	8.546366e-02	1.411939e-02	-3.901876e-02
3	PluK	-1.289305e-02	-9.716138e-02	-2.056458e-03	5.106604e-02
4	MinI	5.731163e+00	9.938446e-03	7.929651e-03	4.045397e-02
4	PluI	5.833026e+00	4.331072e-03	7.679232e-03	2.526807e-02
4	MinJ	-1.159728e+01	1.907966e-01	-6.329145e-01	-1.358243e+00
4	PluJ	1.745142e-02	-1.630721e-01	6.177629e-01	1.291712e+00
4	MinK	-7.607400e-05	3.033624e-03	2.061312e-04	4.259894e-04
4	PluK	7.598487e-03	-1.002772e-02	-4.002288e-05	3.615533e-04
5	MinI	-1.406890e+02	-4.411040e-02	-6.052291e-01	-1.651654e+00
5	PluI	1.407782e+02	2.770587e-02	2.699822e-02	4.488998e-01
5	MinJ	6.898036e-01	-7.215952e-02	2.196244e-01	4.474083e-01
5	PluJ	-7.698848e-01	3.687296e-01	7.420578e-02	7.442749e-01
5	MinK	-1.588073e-02	-3.632158e-03	-5.402127e-02	5.550536e-03
5	PluK	-7.995211e-03	1.688465e-01	1.638742e-01	5.385230e-03
6	MinI	-1.523533e+02	3.602247e-01	-6.614049e-01	-1.821063e+00
6	PluI	1.523664e+02	-3.208307e-04	6.497895e-01	1.818213e+00
6	MinJ	-7.313067e+01	1.236897e-01	-3.470840e-02	-5.132237e-01
6	PluJ	7.313064e+01	3.470925e-02	1.236887e-01	5.132235e-01
6	MinK	1.483601e-02	-1.172338e-01	1.634015e-02	-1.672603e-02
6	PluK	-4.384661e-02	3.755355e-01	-8.341716e-02	1.948080e-02
7	MinI	-1.523555e+02	-4.669230e-02	-4.960500e-02	-5.109471e-01
7	PluI	1.525264e+02	7.196675e-02	-2.342066e-02	4.374683e-01
7	MinJ	-2.395377e+02	-2.541764e-01	-3.514959e-01	-1.497774e+00
7	PluJ	2.395377e+02	3.514955e-01	-2.541768e-01	1.497774e+00
7	MinK	1.113381e-03	1.337382e-02	-9.742584e-02	2.279812e-02
7	PluK	-1.798316e-01	-1.042536e-01	5.941435e-01	5.034924e-02
